Unnamed: 0,Question,A,B,C,D,Answer,Subject
369,"A student has 3 puzzles. Each puzzle has 1,250 pieces. What is the total number of pieces in the puzzles?","3,650","3,750","4,650","4,750",B,elementary_mathematics
47,Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,management
157,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took my daughter to get her ears pierced last week. Scenario 2 | I am developing a cure based on scientific findings.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios
513,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I knew the right thing to do was to turn the lost wallet into the police department, but I went straight to the bank to deposit the money that was in it. Scenario 2 | I walked my dogs for 20 hours last night.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios
51,"In Collision A, two carts collide and bounce off each other. In Collision B, a ball sticks to a rigid rod, which begins to rotate about the combined center of mass. Which of the following statements about quantities in each collision is correct?","Collision A: each cart experiences the same force, time of collision, and change in kinetic energy. Collision B: the ball and the rod each experience the same torque, time of collision, and change in rotational kinetic energy.","Collision A: each cart experiences the same force, time of collision, and change in linear momentum. Collision B: the ball and the rod each experience the same torque, time of collision, and change in angular momentum.","Collision A: each cart experiences the same force, time of collision, and change in kinetic energy. Collision B: the ball and the rod each experience the same torque, time of collision, and change in angular momentum.","Collision A: each cart experiences the same force, time of collision, and change in velocity. Collision B: the ball and the rod each experience the same torque, time of collision, and change in angular velocity",B,high_school_physics
125,Which of the following is the direct energy source that allows ATP synthase to produce ATP in mitochondria?,NADH diffusing from the mitochondrial intermembrane space to the matrix,The reduction of NAD+ during the conversion of pyruvate to acetyl-CoA,H+ ions flowing down a gradient across the mitochondrial inner membrane,The energy of electrons passing along the electron transport chain,C,high_school_biology
67," According to Reiman, van den Haag's arguments in favor of the death penalty",are incompatible with the right to retaliation.,prove that torture is morally impermissible.,should be accepted.,follow common sense.,D,moral_disputes
439,A psychologist places an ad in a local newspaper claiming a guaranteed cure for anxiety.,The ad is not ethical because psychologists are not allowed to advertise,The ad is ethical because the psychologist is an excellent psychologist,The ad is unethical because it makes misleading claims of effectiveness,The ad is ethical because even psychologists are protected by the First Amendment protecting one’s freedom of speech,C,professional_psychology
165,A hypothesis test is set up so that P(rejecting H0 when H0 is true) = 0.05 and P(failing to reject H0 when H0 is false) = 0.26. What is the power of the test?,0.26,0.05,0.95,0.74,D,high_school_statistics
224,___________ is based on the idea that customer expectations of the service they will receive shape their perception of the actual service encounter.,Service quality.,Service action.,Service recovery.,Service satisfaction.,A,marketing
111,What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,world_religions
24,"A father brings his 22-year-old son to you for evaluation. Within the past 6 weeks, this formerly socially active young man has quit his job as a restaurant manager, has become withdrawn, and now spends most of his time in his room watching TV. He reports that he occasionally receives messages from aliens through the TV. Based on this information, which of the following is the most appropriate DSM-IV diagnosis",Schizophreniform Disorder,Brief Reactive Psychosis,Schizophrenia,Antisocial Personality Disorder,A,professional_psychology
187,A basketball player scored 18 points in his first game. This is 4 points fewer than he scored in his second game. Write and solve an equation to find p the number of points he scored in his second game.,18 = p − 4; 14,18 = p − 4; 22,18 − 4 = p; 14,18 − p = 4; 22,B,elementary_mathematics
23,Which of the following statements is true about informal carers (as of 2020)?,50% of over 65s are providing informal care.,One in six over 65s is providing some form of informal care.,Informal carers should not be included in discharge planning.,The majority of informal carers are fit and active.,B,clinical_knowledge
103," Which of the following propositions is not an immediate (one-step) consequence in PL of the given premises?
I ⊃ (J ≡ K)
(J ≡ K) ⊃ (L ∨ M)
I ⊃ ~L",~L,J ≡ K,I ⊃ (L ∨ M),~L ⊃ (J ≡ K),D,formal_logic
430,"In which type of research there is no manipulation of research done and variables are just measured, not manipulated? From your knowledge about research designs and strategies, choose the correct answer.",QUASI-EXPERIMENTAL RESEARCH,TRUE EXPERIMENTAL RESEARCH,CORRELATIONAL RESEARCH,DEVELOPMENTAL RESEARCH,C,professional_psychology
200,A place where people lived and/or worked and where the physical evidence of their existence can be recovered is an archaeological:,artifact.,sample.,site.,culture.,C,prehistory
93,Fees paid by advertisers to online companies that refer qualified potential customers or provide consumer information where the consumer opts in to being contacted by a marketer. This is referred to as:,Lead generation.,Search.,Rich media.,Social media marketing.,A,marketing
55,"In which zone of Burgess's concentric zone model would one find better houses, single-family homes, and higher-rent apartments?",First,Second,Third,Fourth,C,high_school_geography
1246,"A state passed a statute stating that it will pay for one-half of the tuition for any student attending a private school, whether religious or secular, as long as the school meets the educational requirements established by the department of education. The parents of two students who attend a public high school in the state sue for a declaratory judgment and injunction in federal court, claiming that the state statute violates the establishment clause of the First Amendment. Assume that the federal court decides to hear the case on its merits. Which of the following is the state's LEAST persuasive argument for sustaining the validity of the statute?","The state statute benefits the parents or guardians of all the children in private schools, religious and nonreligious.",The primary effect of the state statute is not to advance or inhibit religion.,The administration of the state statute by the department of education does not foster excessive governmental entanglement with religion.,The state statute is a valid exercise of state regulatory action in the field of education.,D,professional_law
46,"The enforcement of company privacy is complex as corporations are somewhat __________, as there are few clear barriers to define their limits, it is difficult to _________ due to the number of individuals involved and much corporate activity takes place in ________.","Boundaryless, Control information, Private spaces","Public spaces, Maintain individual privacy, Private spaces","Boundaryless, Control information, Public spaces","Private spaces, Maintain individual privacy, Public spaces",C,business_ethics
298,"Each story of a building is 14.3 feet tall. If the height of the building is 185.9 feet, how many floors does the building have?",10,13,17,9,B,elementary_mathematics
236,One of the most common reasons for stoma formation is:,irritable bowel syndrome.,haemorrhoids.,carcinoma.,bladder instability.,C,clinical_knowledge
110,Which of the following relies on internal resources to cope with a problem?,Problem-focused coping,Emotion-focused coping,Cognitive dissonance,Semantic differential,B,professional_psychology
34,"The director of a local food bank asks for data on all donations given during the month of November. Of the 100 checks received, the average donation is $155 with a standard deviation of $32. Which of the following is the most appropriate statement?","This November, the average donation is $155.",50% of all donations this November are more than $155.,We are 95% confident that the average donation in November is between about $91 and $219.,We are 95% confident that the average donation in November is between about $149 and $161.,A,high_school_statistics
467,Operant extinction would NOT be the treatment-of-choice when:,an alternative behavior cannot be identified.,the behavior has been reinforced on a continuous schedule.,a temporary increase in the behavior cannot be tolerated.,the baseline levels of the behavior cannot be established.,C,professional_psychology
2,"In the history of marketing, when did the production period end?",In the late 1800s.,In the early 1900s.,In the 1920s.,After the end of the Second World War.,C,marketing
680,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I embraced my sister's newly widowed husband to show him sympathy. Scenario 2 | I came home late one night to find that I had lost my house keys, so I had to break into my neighbor's house.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios
35,The normal respiratory rate for an adult male is:,10-12 breaths per minute.,8-10 breaths per minute.,20-22 breaths per minute.,14-16 breaths per minute.,D,clinical_knowledge
15,How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,electrical_engineering
175,"The gland sometimes referred to as the ""master gland,"" which regulates much of the action of the other endocrine glands is called the",thyroid gland,pancreas,pituitary gland,adrenal gland,C,high_school_psychology
8,"Which of the following statements about the metabolic demand for amino acids is correct?
","The metabolic demand is supplied only from the diet,",The metabolic demand is to maintain protein turnover.,The metabolic demand involves consumption of amino-acids by a number of irreversible pathways and these are either obligatory or adaptive.,The metabolic demand is a fixed amount,C,nutrition
403,"With regard to minority and nonminority clients, psychotherapy is",more effective for nonminority clients,equally effective,more effective for minority clients,more effective when client and therapist have the same racial/ethnic origins,B,professional_psychology
8,Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?,Bruce likely participated in more female-typical play than Chuck.,Bruce likely participated in more male-typical play than Chuck.,Bruce and Chuck likely participated in more male-typical play than female-typical play.,Bruce's father was more likely to have homosexual tendencies than Chuck's father.,A,human_sexuality
219,"For an individual business owner, which of the following would typically be classified as a capital asset for federal income tax purposes?",Accounts receivable,Marketable securities,Machinery and equipment used in a business,Inventory,B,professional_accounting
14,"Considering 'offensive' and 'defensive realism', which of these statements is not correct?",Offensive realism defines the international system as an environment in which states seek to achieve security through the acquisition of power.,Defensive realism regards cooperation as the way in which states can achieve security.,Both defensive realism and offensive realism regard power and competition as a means by which security can be achieved for the state.,Offensive realism theorizes that states will pursue hegemony where possible.,C,security_studies
348,Stress Inoculation Training involves both skills training and modification of maladaptive cognitions. Which of the following steps is incorrectly defined by a young inexperienced therapist:,PRACTICE→ applies learning to real or imagines situations done on a gradual basis,"SKILLS ACQUISITION→ learning relaxation, self-statements, escape routes not necessary with rehearsing them",COGNITION PREPARATION→ education on how faulty cognitions prevent adaptive coping,"SKILLS ACQUISITION→ learning and rehearsing new skills relaxation, self-statements, escape routes",B,professional_psychology
24,Bourdieu attributed the reproduction of class to:,cults of the capital,capital culture,cultural capital,culpable capture,C,sociology
142,"The Basques, Bretons, Kashmiris, and Tamils are all examples of",regionalist groups.,separatist groups.,terrorist groups.,interventionist groups.,B,high_school_geography
208,"A federal statute extends federal minimum wage requirements to all dry cleaning stores. The statute contains express findings that, when combined, the wages received by dry cleaning workers have a substantial impact on the national economy and on the flow of goods and services in interstate commerce. These findings are supported by information presented to Congress during committee hearings on the legislation. A small dry cleaning store operates exclusively within a community in the center of a geographically large state. It has no customers from outside the state. It employs three workers, each of whom is paid less than the federal minimum wage. Must this dry cleaning store comply with the statute imposing the federal minimum wage requirements on all dry cleaning stores?","No, because the store does no business in interstate commerce.","No, because the wages of the store's three workers do not have a substantial impact on interstate commerce.","Yes, because the commerce clause vests Congress with plenary legislative authority over labor relations.","Yes, because the wages paid by dry cleaning stores have a substantial impact on interstate commerce.",D,professional_law
44,Another name for the fallacy of reducing to an absurdity is,tu quoque,ad baculum,ad hominem,reductio ad absurdum,D,logical_fallacies
159,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called in sick to work because I wanted to go to the beach. Scenario 2 | I threw the baby to my friend, and she didn't catch it.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios
14,What designation for a pottery style was eventually applied to an entire cultural complex that moved across the Pacific?,Clovis,Nenana Complex,Lapita,Micronesian Pottery Tradition,C,prehistory
146,The smallest units of meaning in a language are,phonemes,phenotypes,semantics,morphemes,D,high_school_psychology
61,"High intake of which of these dietary components predisposes to accelerated cognitive decline
",High glycaemic index carbohydrates,A high n-6:n-3 fat ratio,Long chain saturated fats,All of the above,D,nutrition
226,Which of the following activities will best help a teacher collect data that will inform instruction to meet the individual needs of students?,Concentric circles,K-W-L chart,Book pass,Reciprocal teaching,B,miscellaneous
119,The process of outsourcing a task or group of tasks to a generally large group of people is known as:,Social media marketing.,Internet advertising.,Crowdsourcing.,E-marketing.,C,marketing
867,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stuffed popcorn into the zipper bag. Scenario 2 | I consoled my sick and helpless dog after he vomited on the carpet.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios
458,The American patriot Paul Revere was named for his father whose original name was what?,John Paul Revere,Paul Silver,Apollos Rivoire,Paolo Reverini,C,miscellaneous
100,"Joseph Priestly discovered oxygen gas by the decomposition of solid mercury(II) oxide, HgO, to oxygen gas, O2, and liquid mercury metal, Hg. How many moles of oxygen gas will form when 4.32 g of solid mercury(II) oxide decomposes? The formula mass of mercury(II) oxide is 216 g mol^-1.",0.100 mol,0.0100 mol,0.0200 mol,0.0150 mol,B,high_school_chemistry
86,Which of the following best describes what discriminative approaches try to model? (w are the parameters in the model),"p(y|x, w)","p(y, x)","p(w|x, w)",None of the above,A,machine_learning
209,A person who is in the position of attempting to satisfy their needs at the most basic level is operating at the level of Maslow's needs hierarchy called the need for:,Self-actualization.,Esteem.,Physiological needs.,Belongingness.,C,marketing
42,"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Mexico,Iran,C,global_facts
114,An allele that is masked is referred to as:,recessive.,redundant.,repressed.,reclusive.,A,clinical_knowledge
70," Which of the following is a stage in the new product development process, undertaken when a new product is tested with a sample of customers, or is launched in a specified geographical area, to judge customers' reactions prior to a national launch?",Test marketing.,Focused marketing.,Live marketing.,Generic marketing.,A,marketing
27,How is endometriosis generally treated?,antiprosaglandin drugs,prostaglandin drugs,hormones,aspirin,C,human_sexuality
103,"In Symbolic Interactionist theory, Mead defined the 'generalized other' as:",the group of structural theories of society that he was reacting against,the overall impression of ourselves that we try to give off to others,a significant figure in early childhood who teaches us the general values of society,an image of how people in the wider society might perceive our behaviour,D,sociology
782,"A plaintiff sued an industrial facility in her neighborhood for injuries to her health caused by air pollution. At trial, the plaintiff was asked questions on direct examination about the days on which she had observed large amounts of dust in the air and how long the condition had lasted. She testified that she could not remember the specific times, but that she maintained a diary in which she had accurately recorded this information on a daily basis. When her attorney sought to refresh her recollection with her diary, she still could not remember. The plaintiff's attorney seeks to have the information in the diary admitted at trial. Is the information admissible?","No, because reviewing it did not refresh the plaintiff's recollection.","No, unless it is offered by the defendant.","Yes, and the plaintiff should be allowed the option of reading it into evidence or having the diary received as an exhibit.","Yes, and the plaintiff should be allowed to read the diary into evidence.",D,professional_law
532,"In people, rods, unlike cones,",are located in the center of the retina.,synapse with bipolar cells.,respond more quickly to bright colors.,have a low absolute threshold for light.,D,high_school_psychology
66,Which of the following best describes the effects of morphine?,Reduces pain intensity and increases alertness.,Reduces pain intensity but also causes sedation.,Reduces pain intensity but also causes diarrhoea.,Reduces pain intensity but also causes insomnia.,B,clinical_knowledge
1306,"Pete Smith is the active partner and Bill Jones is the silent partner in a general partnership known as ""Pete Smith Plumbing."" After six years of being uninvolved in the management of the partnership business, Bill purchases 100 toilets for the business. Pete is incensed because it will probably take years to use up the inventory of so many toilets and seeks your advice. The best advice is",Bill can bind the partnership by his act.,silent partners are investors only and cannot bind the partnership.,"unless his name is in the partnership name, third persons are ""on notice"" that he is unauthorized to contract for the partnership.","Bill, as a silent partner, is not authorized to purchase and, therefore, the sale may be set aside.",A,professional_law
70,Post-modernist writers have argued that:,"we live in a world of superficial, fragmented images",no theory is better than any other: 'anything goes',society has changed and we need new kinds of theory,all of the above,A,sociology
6,Invertebrate immune systems possess which of the following?,Cytotoxic T-lymphocytes,Phagocytes,B-cells,Helper T-cells,B,high_school_biology
37,"Interest groups representing businesspeople and investors are often among the most successful lobbying groups in Washington, D.C., for all of the following reasons EXCEPT",Such groups have the financial resources to mount sustained campaigns on their own behalf.,"Many such groups have been in existence for several decades or more, allowing them to master the legislative system and to develop close ties with legislators.","In many districts, these groups' constituents make up the majority of voters.","These groups' constituents contribute heavily to many legislators' campaigns, and in doing so, gain greater access to legislators.",C,high_school_government_and_politics
128,A company should recognize goodwill in its balance sheet at which of the following points?,Costs have been incurred in the development of goodwill.,Goodwill has been created in the purchase of a business.,The company expects a future benefit from the creation of goodwill.,The fair market value of the company’s assets exceeds the book value of the company’s assets.,B,professional_accounting
81,"When an emergency opening into the airway is required, the cricothyroid membrane should be pierced immediately",superior to the thyroid cartilage.,inferior to the thyroid cartilage.,inferior to the cricoid cartilage.,superior to the thyroid isthmus.,B,anatomy
198,"For certain micronutrients, 'biochemical functional indices' have been developed, to assess the adequacy of one or more biochemical pathways that respond predictably to changes in status of that specific micronutrient. One example is serum methylmalonic acid as a biochemical functional index for vitamin B12 status. What is the primary aim of such biochemical functional index measurements?
",To achieve a better estimate of the dietary intake of the micronutrient.,"To overcome interference, eg by acute phase-linked effects.","To correct for nutrient losses, e.g. through urinary excretion.","To provide an additional status estimate that can probe critical tissue adequacy, and hence the risk of consequent clinical disease or physiological malfunction.",D,nutrition
177,"The Department of Health plans to test the lead level in a specific park. Because a high lead level is harmful to children, the park will be closed if the lead level exceeds the allowed limit. The department randomly selects several locations in the park, gets soil samples from those locations, and tests the samples for their lead levels. Which of the following decisions would result from the type I error?",Closing the park when the lead levels are within the allowed limit,Keeping the park open when the lead levels are in excess of the allowed limit,Closing the park when the lead levels are in excess of the allowed limit,Keeping the park open when the lead levels are within the allowed limit,A,high_school_statistics
258,"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. The description of the sun in the second sentence contains which of the following literary devices?",Foreshadowing,Irony,Flashback,Personification,D,miscellaneous
156,Warner and Myrdal claimed that black former slaves were not joining the 'ethnic melting pot' of the North American cities because:,"the white population did not believe in liberty, equality, and democracy",they wanted to retain a strong sense of their original ethnic identity,they were not prepared to leave the Southern states and move to North America,the promise of citizenship was contradicted by continued discrimination,D,sociology
57,"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,conceptual_physics
83,A starvation-free job-scheduling policy guarantees that no job waits indefinitely for service. Which of the following job-scheduling policies is starvation-free?,Round-robin,Priority queuing,Shortest job first,Youngest job first,A,college_computer_science
1147,"A man was charged with first-degree murder. Two lawyers were appointed to represent him because the prosecution planned to seek the death penalty. On the first day of trial, the air-conditioning malfunctioned in the courtroom, so the judge directed that the selection of the jurors take place in his chambers. Because of the large number of potential jurors, the judge directed that only one lawyer for the prosecution and one for the defense participate in the jury selection process. The defendant remained in the courtroom during the questioning of the jurors. Once the jury was selected, the trial was postponed until the next day, when the air-conditioning was again working. Did the court's jury selection process violate the defendant's federal constitutional rights?","No, because a defendant's confrontation rights are limited to witnesses rather than jurors.","No, because there was good cause to conduct jury selection outside the defendant's presence.","Yes, because excluding the defendant undercut the presumption of innocence.","Yes, because jury selection is a critical stage at which a defendant is entitled to be present.",D,professional_law
272,"After studying for an examination, retention of the learned material is best facilitated by",sleeping,studying a related subject,exercising,studying an unrelated subject,A,professional_psychology
352,"Which of the following numbers is between 2,329,500 and 2,598,100?","2,249,550","2,589,200","2,329,333","2,327,900",B,elementary_mathematics
12,What is the remainder when $2^{87} +3$ is divided by $7$?,0,1,2,4,D,high_school_mathematics
174,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I bought out the condo building and replaced it with a homeless shelter. Scenario 2 | As my grandparents slept, I soiled their laundry.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios
18,Select the best translation into predicate logic. José introduces Wilma to Kevin. (j: José; k: Kevin; w: Wilma; Ixyz: x introduces y to z),Iwkj,Ijwk,Iwjk,Ijkw,B,formal_logic
9,Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,elementary_mathematics
159,What is 7% equal to?,0.007,0.07,0.7,7,B,elementary_mathematics
93," In contrast to Garrett Hardin's approach, the Confucian model rejects coercion because",the costs of eliminating a collective action problem are not irrelevant to its solution,it affirms the autonomy of individuals apart from others.,"it cannot lead to real social change, which involves changes of mind as well as action",The Confucian model actually accepts coercion.,B,moral_disputes
104,In order to reduce or eliminate crowding out expansionary fiscal policy can be accompanied by,an increase in government spending,a decrease in investment,expansionary monetary policy,contractionary monetary policy,C,high_school_macroeconomics
189,"At very high speeds, an object appears to an observer at rest to be",shorter in the direction of travel.,shrunken in all directions.,shorter in the direction perpendicular to travel.,longer in all directions.,A,conceptual_physics
11,How were retroviruses discovered?,In chickens as Rous sarcoma,In humans as HTLV-1,In mice causing leukaemia,In cats causing leukaemia,C,virology
81,"How many palindromes (arrangements reading the same forward as backward) of 2 letters or more, containing the letter M, can be formed by rearranging any subset of the letters MISSISSIPPI?",89,66,86,2012,A,high_school_mathematics
87,""" _Ad novitatem_ "" is",arguing that what is true of a few members of a class is true of all members of the class,drawing a conclusion by applying irrelevant criteria to a subject,substituting individual stories for a larger sample as support for a claim,"arguing that something must be good because it is new, or must be bad because it is old",D,logical_fallacies
122," Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
(G ≡ H) · ~I
~G ∨ (~H ∨ I) / G",Valid,Invalid. Counterexample when H and I are true and G is false,Invalid. Counterexample when H is true and I and G are false,"Invalid. Counterexample when H, I, and G are false",D,formal_logic
156,The theory that the main purpose of a settlement or market town is to furnish goods and services to the surrounding market area is called the,urban hierarchy theory.,central place theory.,concentric zone model.,multiplier effect.,B,high_school_geography
5,Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,public_relations
249,An unborn vertebrate animal that has developed to the point of having the basic structure that is characteristic of its kind is known as,a zygote.,a blastocyst.,an embryo.,a fetus.,D,moral_disputes
306,The short-run Phillips curve depicts the ____ relationship between ____ and ____.,positive price level interest rate,negative interest rate private investment,negative the inflation rate the unemployment rate,positive price level real GDP,C,high_school_macroeconomics
171,Find the opposite of the number −7.,7,-7,0.7,-7.7,A,elementary_mathematics
106,What happens to the image formed by a concave mirror as the object is moved from far away to near the focal point?,The image moves away from the mirror and gets shorter.,The image moves away from the mirror and gets taller.,The image moves toward the mirror and gets shorter.,The image moves toward the mirror and gets taller.,B,high_school_physics
97,What term is used to represent unavoidable past costs that cannot be changed no matter what action is taken?,Prime costs,Sunk costs,Opportunity costs,Incremental costs,B,professional_accounting
81,"Let f(x) be a function whose graph passes through the origin. If f(2n) = n^2 + f[2(n - 1)] for every integer n, what is the value of f(8)?",24,30,32,36,B,college_mathematics
174,"How many stages within the food supply chain can food availability and consumption be measured?
",10,5,2,4,B,nutrition
63,Two whole numbers have a least common multiple of 60. Each number is less than or equal to 12. The greatest common factor of the two numbersis 2. What are the two numbers?,6 and 10,5 and 12,10 and 12,12 and 15,C,elementary_mathematics
0,A valid disjunctive syllogism has a major premise that:,includes two or more alternatives,classifies subjects,affirms the antecedent or denies the consequent,leads to a valid conclusion,A,logical_fallacies
196,"A previously healthy 19-year-old college student comes to student health services 24 hours after the onset of headache, stiff neck, and sensitivity to light. She does not recall any sick contacts. She had chickenpox at the age of 7 years. Her most recent examination 1 year ago included PPD skin testing and showed no abnormalities. She takes a daily multivitamin and an herbal weight-loss preparation. She received all appropriate immunizations during childhood but has not received any since then. She does not smoke, drink alcohol, or use illicit drugs. There is no family history of serious illness. She appears lethargic. Her temperature is 39.1°C (102.4°F), pulse is 112/min, respirations are 20/min, and blood pressure is 100/68 mm Hg. Examination shows diffuse petechiae. Kernig and Brudzinski signs are present. The remainder of the examination shows no abnormalities. A lumbar puncture is performed. Cerebrospinal fluid (CSF) analysis shows numerous segmented neutrophils and a decreased glucose concentration. A Gram stain of the CSF shows gram-negative cocci. Which of the following is the most appropriate pharmacotherapy?",Ceftriaxone,Clindamycin,Erythromycin,Metronidazole,A,professional_medicine
532,"A psychologist emphasizes that parents should use appropriate consequences when dealing with their children’s misbehavior. In addition, the psychologist explains that the goal of misbehavior can be to confirm an assumed disability, or to get attention, power, or revenge. Which of the following theoretical orientations is being used",Rogerian,Transactional analysis,Adlerian,Psychodynamic,C,professional_psychology
83,What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,management
272,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ripped off the merchant. Scenario 2 | I drank vodka during halftime of the big game.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios
104,"At trial in a criminal prosecution for theft, the defendant calls a witness to testify that he formerly knew the defendant as an army supply sergeant and that the defendant had turned down many opportunities for black marketeering. Is the witness's testimony admissible?","No, because it is irrelevant to the present charge.","No, because the defendant may not prove his good character by specific instances of good conduct.","Yes, because a criminal defendant may prove his good character as a basis for inferring conduct.","Yes, because, by accusing the defendant of being a thief, the prosecution has put his character in issue.",C,professional_law
97,"Suppose that a hypothesis test is conducted using a 5% significance level. Which of the following statements are correct?

(i) The significance level is equal to the size of the test

(ii) The significance level is equal to the power of the test

(iii) 2.5% of the total distribution will be in each tail rejection region for a 2-sided test

(iv) 5% of the total distribution will be in each tail rejection region for a 2-sided test.",(ii) and (iv) only,(i) and (iii) only,"(i), (ii), and (iii) only","(i), (ii), (iii), and (iv)",B,econometrics
11,A previously healthy 24-year-old woman comes to the physician because of a low-grade fever and a nonproductive cough for 7 days. She has been able to continue her daily activities. Her temperature is 37.7°C (99.9°F). A few scattered inspiratory crackles are heard in the thorax. An x-ray of the chest shows patchy infiltrates in both lungs. Which of the following is the most appropriate initial pharmacotherapy?,Amoxicillin,Cefaclor,Ciprofloxacin,Erythromycin,D,professional_medicine
98,In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,miscellaneous
452,"A woman hired a builder to build a house according to certain plans and specifications prepared by the woman's architect. The agreed upon price was $250,000, with construction to be completed within four months. Two weeks after the building contract was formed, the builder contacted a lumber yard to purchase wood necessary for the construction of the house. The builder and the owner of the lumber yard entered into a valid written agreement whereby the lumber yard was to supply the necessary lumber in exchange for $10,000, payable by the builder within 30 days. One week later, a fire destroyed a good portion of the lumber yard's supply of lumber. As a result, the lumber yard refused to supply lumber to the builder. The builder was unable to find another supplier of lumber and therefore notified the woman that he would be unable to complete her building on time. If the woman sues the owner of the lumber yard for breach of contract, will she prevail?","Yes, because by operation of law the woman is an equitable assignee of the builder's claim against the owner of the lumber yard for breach of contract.","Yes, but only if the builder's contract with the owner of the lumber yard was not discharged by the fire.","No, because privity of contract does not exist between the woman and the owner of the lumber yard.","No, because the woman is only an incidental beneficiary of the contract between the builder and the owner of the lumber yard.",D,professional_law
20,What is the inverse of $f(x)=4-5x$?,\frac{5}{x-4},\frac{x-4}{5},\frac{x+4}{5},-\frac{x-4}{5},D,high_school_mathematics
107,"Stock A has a beta of 0.8, while Stock B has a beta of 1.4. The expected return on the market is 10% and the risk-free rate is 7%. Using CAPM and this stock information, what is the required rate of return for Stocks A and B, respectively?",9.4% and 11.2%,−2.6% and 4.9%,4.3% and 7.4%,6.4% and 10.5%,A,professional_accounting
48,"Businesses have _____ within society and have the potential to provide a ____ to society while ____ has the potential to inflict enormous harm on individuals, communities and the environment.","Little power, Small contribution, Business malpractice","Little power, Major contribution, Corporate social responsibility","Huge power, Small contribution, Corporate social responsibility","Huge power, Major contribution, Business malpractice",D,business_ethics
159,"The amount of rainfall per month in a certain city is approximately normally distributed, with a mean of six inches and a standard deviation of 1.6 inches. Which of the following is the highest amount of rainfall, in inches, this city could have this month for the month to be among the 10percent driest months the city has seen?",8.05,7.6,3.95,3.37,C,high_school_statistics
45,"Statement 1 | For any two groups G and G', there exists a homomorphism of G into G'. Statement 2 | Every homomorphism is a one-to-one map.","True, True","False, False","True, False","False, True",C,abstract_algebra
