,Question,A,B,C,D,Answer,Subject
819,"Afisa wa polisi wa mdzi mthithe wavuha dhereva khwa mhwendo wa kasi. Anaamini kukala dhereva iye were atsukirwe na kuhangaika, lakini were khana sababu za msingi za kufikiria kukala kuna kitu kii. Wachakura gari hatha vizho na wapata katoni mbiri za pechi zirizokaushwa khwenye mikopo, ambayo were ni za jirani wa dhereva na kuripotiwa kuiya nze ya ukumbi wakhwe saa 24 mapema. Mamlaka yashthaki khwa wivi tsini ya kanuni ya jinai ya serikali. Hoja yakhwe ya kukandamiza ushahidhi khwa sababu ya kuchakura kusiko khwa halali yakhahalwa. Ikitoswa rufaa, mahakama ga rufaa ni khwenda ika khahala uamuzi wa mahakama ga tsini ukahalao voyo ra kugandamiza?","Eeeeh, kwa sababu kuchakura kuko were si khwa kikatiba kumbolana na afisa iye kutsokala na shaka rorosi ambaro ringehalalisha kuchakura gari riro.","Eeeeh, kwa sababu gari rivufwaho kwa mwendo wa kasi, afisa ni lazima apate hathi ya kuchakura kabla ya kuchakura kitu chochosi.","Ha-an-ha, kituo na utafutaji were vi ndani ya mihaka ya kawaidha ya kufaa khwa kuima khwa kasi.","Ha-an-ha, khwa sababu dhereva kukala mkaha ni zha kuthosha khwa sababu idimikikayo ya kutafuta kila hatu khwenye gari.",A,professional_law
503,Mdzi mkulu wa New Zealand ni?,Sydney,Wellington,Auckland,Melbourne,B,miscellaneous
24,"Swali riri rinauyira habari zidzazo. Mhwengawaho ya haki ambazo mutu huru ambazo adzakala akizirinda khwa umakini munji wa wivu ni uryahu wa kufurahikia thawabu za tasniaye mhwenye. Kumanya kukala mamlaka ga kuthoza kodi ni nguvu ya kunonga na khwamba mamlaka ga kuhala kiasi fulani cha mali au mapato ni ngira nyingine thu ya khwamba khwa sehemu fulani ya wakathi wakhwe raia lazima ahende kazi khwa serikali, mamlaka kuthoza ushuru khwa atu kudzakala khwa kurindwa makini zaidhi... Serikali ithozayo ushuru khwa atu usiomalwa khwa lazima na sera mbidzo za umma si urinzi wa uhuru, lakini ni chombo cha dhuluma. Inalaani raia khwa dhuluma. Mhwenga ya dalili za khwanza za kuvunzika kwa serikali huru ni kutsozingathira khwa uwezo wa kuthoza ushuru wa haki khwa atu khwenye mali zao eye... Isihokala atu manadima kufurahia usalama uo wa kuridhisha kahiza umiliki wa mali zao, ambao udzahakikishwa na katiba, dhidi ya ushuru usio na sababu, uhuru u mwisho.... Khwehu utsumi ni muhimu. mtihani kamili wa thabia kamili zehu za kitaifa... Siku zosi ni atu mathabiikao khwa mariho gago.
-Calvin Coolidge, “”Utsumi kwa Maslahi ga Osi,” Juni 30, 1924.
Kahiza kifungu haho dzulu Coolidge anajibu dhidi ya hiro kahiza zithuirizazo?”",Sera za kiutsumi za mthanguliziwe Warren G. Harding,Kungezeka khwa nguvu za siasa khali kuko Amerika kuthuiriza Mapinduzi ga Urusi,Msukosuko wa atu anji kahiza tsi za Magaharibi,Sera za serikali za Enzi ya Maendherero,D,high_school_us_history
735,"Je, sedan indapinduka khwa kasi yani iherezaho khwa upande khwenye ukingo?",10 mph,20 mph,40 mph,80 mpg,B,miscellaneous
26,"Kilowevu kinathiririka khwa kiwango fulani cha mthirirko wa mara khwa mara kukirira paipu yenye sehemu za msalaba za mviringo za kipenyo tofauti. Kahiza hatua mhwenga ya paipu, kipenyo ni 2cm na kasi ya mthiririko ni 18m/s. Je, ni kiasi chani cha mthiriko kahiza hatua nyingine kahiza paipu mbiri zizi, ambaho kipenyo ni 3 cm?",4 m/s,6 m/s,8 m/s,12 m/s,C,high_school_physics
49,"If $f(x) = 8x^3 - 6x^2 - 4x + 5$, tafuta thamani ya $f( -2)$.",5,-75,-64,-24,B,high_school_mathematics
223,"Je, ni hicho kahiza vithurizazho ni jeri khwa ukongo wa peho ya yabisi?",Sababu ya rheumatold i kahiza 25% ya kesi za rheumatold,It is an example of an oligoarthropathy,Anemia ni majibu ga kawaidha,Heberden's nodes are a feature,C,clinical_knowledge
216,"Ngira mhwenga ya kuthamini uhuru wa mkongo ni khwa kungeza tsagulo bora. Futhaminiho uhuru wa mkongo khwa ngira ii , ni noni  kulingana na Veleman, funathamini noni?",fursa za mkongo za kudziamini,uwezo wa mkongo wa kudziamini,uwezo wa kumpa mkongo tsagulo,uwezo wa kushiri sababu na mkongo,A,moral_disputes
1032,"Mhwana muche wapata lutsunga wakathi were kuna matatizo ga ndoa gangezekago na mulumewe. Khamwambirire kukala analutsunga, na waamua kumboza lutsunga bila kumwambira. Jimbo ra khwakhwe were rina sheria iriyo mumala angize sahihi taarifa iriyodhibitisha khwamba wamwambira mulumewe kuhusu kumboza mimba ariko kusudhia. Wakahala kungiza sahihi na kuishthaki serikali kupinga uhalali wa sheria. Je, sheria ni kinyume na katiba?","Ha-an-ha, sheria khaingirie haki ya mche khwa faragha khwa sababu mulume were ana haki sawa ya kurindwa.","Ha-an-ha, sheria yafikisha ungirirdzi mthithe thu na khaingekala vikomu khwa ana ache marehalwa na kupata kibali cha alume ao.","Eeeeh, ni kinyume na sheria khwa sababu mhwana muche ana haki isiyo hitimu khwa kumboza lutsunga khwa mahitaji.","Eeeeh, ni kinyume cha sheria khwa sababu inamboza mzigo usiofaa khwa haki ya mhwana muche kumboza mimba.",D,professional_law
159,Ujeri khwamba Mwezi daima unanyesa usowe sawa khwa dhunia ni ushahidhi khwamba Mhwezi unazunguka hehi na mhimiliwe mara mhwenga khwa kila,siku,mhwezi,mhwaka,Khwakuna hatha mhwenga ya gaga khwa mhwezi khauna mzunguko kanda kanda ya muhimili,B,conceptual_physics
271,Ni kipimo chani kingesogesha tototo tha elifu iriyo hehi zaidhi?,Ure wa uwanja wa mpira kahiza yadi,Ure wa mchezaji wa kitaalamu wa mpira wa magulu khwa inchi,Idadi ya atu khwenye mchezo wa soka wa kurifwa,Uzani wa mchezaji wa kitaalamu wa mpira wa magulu khwa paunzi.,C,elementary_mathematics
12,Maisha mare ga atu manaoishi kahiza eneo fulani rinapothokaro khwa kiwango cha miaka 14. Ni noni maana ya maisha mare ikikala 30% ya atu manaishi zaidhi ya miaka 75? Fikiria usambazaji wa kawaidha khwa muda wa maisha.,75 - 0.30(14),75 + 0.30(14),75 - 0.4756(14),75 - 0.5244(14),D,high_school_statistics
318,"Ni khwa hali yani kahiza zizi mbiri ambaho mhusika mkulu (anahumiraye Mi/mimi/zhangu) nikuhenda utu ui kimaadili, kulingana na viwango zha kawaidha zha maadili ga tsi ya Marekani kufikira 2020? Hali ya 1| Kahiza shidha zangu za maisha kahikahi, nagenja pango ra mtu.
Hali ya 2 | Namkabidhi ndugu yangu uryahu mswaki ili asafishe menoge.","Kosa, Kosa","Kosa, Si kosa","Si kosa, Kosa","Si kosa, Si kosa",D,moral_scenarios
1005,"Sheria ya serikali yahenza majengo ga sikuli ga umma ambago were ga wazi kuguzwa khwa mnada khwa mzabuni mkulu zaidhi. Kanisa kahiza mdzi urio kahiza jimbo riro rahenza kupata vifaa vibomu zaidhi zha sikulize. Bodi ya sikuli ya mdzi yahenzeza sheria mbisha ya serikali ambayo ingeidhinisha kuguza jengo ra sikuli ya umma iriyo wazi, khwa bei iriyo tsini ya thamani yakhwe ya soko, khwa kanisa ili rihumike here sikuliye. Je, ikitunghwa sheria iii indakala ya kikatiba?","Ha-an-ha, khwa sababu sheria inayoidhinisha hasa uguzi wa jengo bila zabuni yenye ushindani indakiuka kifungu cha urinzi sawa cha marekebisho ga kumi na nne.","Ha-an-ha, khwa sababu kuhamishwa khwa jengo riro khwa kanisa tsini ya hali zizi kungejumulisha kuanzishwa khwa dini iriyokahazwa na Marekebisho ga khwanza na ga kumi na Nne.","Eeeeh, khwa sababu mali ya ziada ya serikali khai tsini ya vikhwazo virizhoikhwa na kifungu cha uanzishadzi here irizhojumulishwa kahiza kifungu cha uanzishadzi here irizhojumulishwa kahiza Marekebisho ga Kumi na Nne.","Eeeeh, khwa sababu sheria khaingeungire mkono hasa au khwa kiasi kibomu shughuli za kidini za kanisa.",B,professional_law
150,Tofauti za kiumbire zizalishwazo khwa urahisi ni muhimiu khwa ugaluzi wa haraka ya idadi ya virusi na microbial. Zaidhi ya gago vimelea vihenzazho kuepuka mfumo wa kinga unategemea tofauti iii ili kuzalisha antijeni mbisha za uso ambazo kazimanyikana na mfumo wa kinga ya mhwenyenazho. Ni hiyo kahiza zithuirizazo ni mifano ya tofauti ii ya antijeni?,"HIV, ambayo inadima kubaki kuunganishwa kahiza jenomu ya mhwenyenazho kwa miaka minji.","Virusi zha mafua, ambazho vinabadhilisha protini zakhwe za bahasha","MRSA, ambayo ikala sugu khwa antibiotics nyinji","Sclerosis kadhaa, ambazo zinashambulia seli za mfumo wa neva",B,high_school_biology
193,"“Swali riri rinauyira habari ithuirizayo.
Chanzo 1:
Zaidhi ya gago, Mulume, Kahiza Falme zehu; kuna kubujwa kungine kubomu ambako ni khwa atu enye utumishi mthithe khwa Mulungu,na iii ni khwamba atu ehu anji, manathamani sana bidhaa na vitu zha thamani sana bidhaa na vitu zha Mfalme wao, ambazho vinarefwa haha ni. atu ako, na ili kukidhi hamu yao ya kurya, managhwira atu anji, atu mariorichwa huru na masio na msamaha, na mara nyinji sana nikumbolera kukala manaaghwira hatha atu mashuhuri na jamaa zehu, na kuhirikhwa kuguzwa khwa azungu mario kuko. falme zehu.” Barua kumbola khwa Mfalme Afonso wa Khwanza wa Kongo khwenda khwa Mfalme John III wa Ureno, 1526
Chanzo 2:
“Msafara uu udzahugarimu sana: khaindakala utu wa busara kufuhuma nyumbani khwao mikono mihuhu. Ingawa nia yehu [bomu] ni kumhumikira Mulungu na radhi ya mfalme wa Kongo, hatha vizho undamuhendya aelewe—here khwamba ananena khwa dzina rehu—ahendedze ili kudzaza merikebu, ikale na ahumhwa au shaba. au pembe za ndzovu.” Malagizo kumbola khwa mjumbewe kuko Kongo, 1512 Barua zizi mbiri zinaunga mkono tototo zaidhi ni hiyo kahi ya hithimisho zithuirizazo?",Uhusiano wa kidiplomasia kahi ya Ureno na Kongo mara nyinji were ni mudzo.,Akulu a Kikongo mahalwa mara kwa mara here ahumhwa na Areno.,Biashara kahi ya Ureno na Kongo yadhibitiwa sana.,Biashara kahi za Ureno na Kongo were ni ya haraka na pande zosi mbiri.,D,high_school_world_history
144,dipole ya umeme ina jozi ya mariho ga pointi sawa lakini kinyume cha ubomu wa 4.0 nC ikitenganishwa khwa ure wa cm 2.0. Ni nguvu yani ya uwanja wa stima kahiza sehemu za kahikahi ya chaji?,0,9.0 × 10^4 V/m,1.8 × 10^5 V/m,7.2 × 10^5 V/m,D,high_school_physics
276,Brandt anadai khwamba ikikala kanuni za maadili ni bora ingetegemea khwa kiasi fulani:,hali komu ya kanuni,ni atu angahi manadima kukiuka.,"gharama za vikhwazozhe, khwa suala ra hathia inayosababisha.",zhosini virizho dzulu.,D,philosophy
182,"Ughwizanyo rahisi, texture nyepesi na wira laini ni sifa za",mtindo wa galant,partitas,Sturm und Drang,serenade,A,miscellaneous
1,"Je, Pato ra Taifa khwa kila mutu tsi ya Marekani mhwaka wa 1850 were ni noni wakathi wa kurukebisha mfumuko wa bei na PPP kahiza bei za 2011?",here $300,Here $3k,Here $8k,Here $15k,B,global_facts
152,"Kahiza jaribio ra kimatibabu, akongo 30 a anemia ya seli mundu nikuikhwa khwa makundi mairi bila mpangilio. Kundi mhwenga nikuhokera dawa iguzwayo khwa saa iii, na kundi ringine nikuhokera dawa ya majezo. Kila wiki, akongo manaripoti kliniki ambako vipimo zha damu vinahendwa. Mataalamu wa maabara khamanya aina ya dawa ahumirayo mkongo. Ubunifu uu unadima kuelezwa here","muundo wa nasibu kabisa, na dawa iguzwayo khwa saa ii na dawa ya majezo here matibabu mairi","muundo wa jozi zilinganazo, na dawa iguzwayo khwa saa ii na dawa ya majezo ikiunda pea.","muundo wa kuzulia nasibu, na dawa iguzwayo khwa saa iii na dawa ya majezo here vizuizi zha hiri","muundo wa kuzulia nasibu, na dawa iguzwayo khwa saa iii na dawa ya majezo here matibabu mairi",A,high_school_statistics
201,"Ni khwa hali yani kahi za zizi mbiri ambaho mhusika mkulu (ahumiraye Mi/mimi/zhangu) anahenda jambo rii kimaadili, kulingana na viwango zha kawaidha zha maadili tsi ya Marekani kufikira 2020? Hali ya 1| Namshambulia mhwenye nyumba. Hali ya 2 | Natharura na kutharura karathasi kumbola khwa zawadi khwenye sherehe za kuzhalwa.","Kosa, Kosa","Kosa, Si kosa","Si kosa, Kosa","Si kosa, Si kosa",B,moral_scenarios
106,"Muwosia wafa na kukirira wosiawe wamboza maliye yosi khwa hisani, lakini zawadi yashindikana khwa sababu wosia uo wahendwa khwa sababu kabla ya kifo cha m’mboza wosia mutu mumhwenga wafikisha madai dhidi ya marithi gago, akidai kukala iye ni mhwana na mrithi wa mhwamboza wosia. Kahiza kesi ya madai ga mhwana mulume, mhwanamulume iye khadimire kumboza uthibitisho wowosi khwa ndoa ya sherehe, lakini wathibitisha gathuirizago khwa ushahidhi usio na shaka: (a) khwamba mameye na m’mboza wosia were maishi hamhwenga khwa muda wa miaka kadhaa; na (b) khwamba mameye were wamthangulia m’mboza wosia khwa siku mhwenga. Halira kukala eneo riri ra mamlaka rina Sheria ya Maithi ihumikyo. Kahiza kesi iyo, wakili wa mhwana mulume iye wampigira simu karani kahiza hoteli ya kudzihuriza ya majira ga peho khali. Karani wamboza ushahidhi khwamba m’mboza wosia na mhamha ya mutu mafika hotelini khwa miaka minji na mara nyinji wamwona m’mboza wosia akisaini rejista ya hoteli here “Mulume na Muche wa Muwosia.” Mahakama ya kesi inahenzwa kumboza ushahidhi wa karani.","naruhusiwa, khwa sababu karani were ana ufahamu wa kibinafsi wa suala riro.",inakubalika here ubaguzi wa lukolo khwa sheria ya tetesi.,"khaikubalika, khwa sababu ushuhuda wa karani si ushushadhi bora.","khaikubalika, tsini ya Sheria ya Marehemu.",A,professional_law
1160,Raisi anadima kutsagula hani kahi ya mathuirizao khwa ushauri na idhini ya Seneti?,Mabalozi,mawaziri na mabalozi ga umma,majaji ga Mahakama ga Dzulu,osini marioho dzulu,D,professional_law
481,"Mutu asiyestaafu were nde mumiliki wa wa hathimiliki ya rekodi khwa ada rahisi kamare ya shamba ra ekari 100. Haho 1998, mstaafu wapanga mali iyo khwa  mhwanawe wa kiche na msenawe here apangaji a hamhwenga enye haki ya kuishi. Mhwaka uriothuriza, mwanawe wa kiche, wamboza hathi khwa mhendi wa kazi mahendao kazi osini here ithurizhazho: ""khwa vizho ninamhokeza haki yangu, hathimiliki, na maslahi gangu kahiza sehemu ya kazikazini-mashariki ya munda khwa muhendi wa kazi mhwanzangu na arithie."" mhwana wa kiche iye wahokera $100,000 kumbola khwa mkopeshaji, na hathi ya ahadi yahendwa here ushahidhi wa dheni riro. Mhwaka wa 2008, mhwana wa kiche iye wakosa mkopo, na mkopeshaji, here mkopeshaji wa hukumu, wathoza na kumuguza mpwawe dzulu ya kunyongwa khwa maguzo gosi ga ""haki, hathimiliki na riba ya (mhwana wa kiche) kahiza nusu ya munda. Desemba 2009, mhwana wa kiche wafa, na kumurithisha mulumewe here mrithi wakhwe hakeye ariyesala. Ni hani amilikie munda?",Msena na mhendi wa kazi mhwanziwe ni apangaji hakiza sehemu ya kazikazini-mashariki ya munda; msena na mulume ni apangaji kahiza sehemu ya kazikazini-magharib ya munda; na msena na mpwawe ni apangaji sawa a nusu ya kusini mwa munda.,Msena na mhendi mhwanziwe ni apangaji kahiza sehemu ya kazikazini-mashariki ya munda; rafiki ndiye mmiliki khwa ada ya robo ya kazikazini-magharibi ya munda; na msena na mpwawe ni apangaji sawa na nusu ya kusini ya munda.,Msena na mhendi wa kazi mhwanziwe ni apangaji kahiza sehemu ya kazikazini-mashariki ya munda; msena na mulume ni apangaji kahiza sehemu ya kazikazini-magharibi ya munda; na mpwa ndiye mhwenye ada ya nusu ya kusini ya munda.,Msena na mhendi wa kazi mwanziwe ni apangaji kahiza sehemu ya kazikazini-mashariki ya munda; na msena ndiye mmiliki khwa ada ya robo tahu iriyobaki ya munda.,B,professional_law
447,Kahiza hali ya kawaidha mwanafunzi nikudzifundisha kuhusu kichocheo kisicho na masharti na,jibu risiro na masharti,kichocheo kiricho na masharti,majibu genye masharti,kiimarishaji hasi,B,high_school_psychology
217,Madhumuni ga kimsingi ga a(n) ____________ ni kupata maelezo ga kina kuhusu mahitaji ga kazi ili kudimisha maamuzi gahusianago na fidia.,tathmini ya mahitaji,uchambuzi wa shirika,uchambuzi wa kazi,kuthakmini kazi,D,professional_psychology
29,"Swali riri rinauyira habari ithuirizayo.
Vilongozi ehu manasumurira dzulu za kukomesha uchokozi kumbola kazikazini, lakini gaga were ni mapambano kahiza vikundi zha kivietinamu hadhi furihongirira kahi. Inaonekana fudzadhamiria kuaokola Anavietinamu kumbola khwa Ho Chi Minh hatha kala indahulazimisha kualaga na kubomola tsi yao ili kuunda vizho. Enye machunguzaho vidzidzi virizholipuliwa khwa mabomu, ana ache na ahoho mario ochwa na napalm, zhalo ra muhunga ririrononghwa na midzi iriyodzala anajeshi ehu, bila shaka mananena khwa siri kuhusu apiganaji a tsaka ra Vietcong na majeshi ga Marekani, “Tauni dzulu yako yosi. nyumba. “.. Komesha urihaji wa mabomu, kazikazini na kusini, komesha utafuti na unongi usheraji ukerao, na uike shughuli zehu za kijeshi khwenye shughuli za ardhini. Mashambulio ga mabomu kazikazini gadzashindwa kuimisha au kulola khwa umakini mthiririko wa anajeshi khwenda kusini na ni khwenda, khwa hakika, kudzasababisha juhudi bomu zaidhi za viha na Hanoi.
- Seneta George McGovern, “Mashomo ga Vietnam,” Aprili 25, 1967. Hisia zirizonyeswa kahiza hotuba haho dzulu zaathiri mhwenga kwa mhwenga ni hiyo kahiza zithurizazo?",Kukizwa khwa sheria ya nguvu za Viha ya 1973,Mashambulizi ga Tet ga 1968,Kudzihuzulu khwa Richard Nixon makathi ga 1974,Kuibuka khwa utamaduni wa kukabiliana na vijana,A,high_school_us_history
187,Ni mambo gani ga mitindo wa maisha khagandatatanisha na tafsiri ya afya ya aryadzi mboga ikilinganishwa na aryadzi nyama?,Thabia ya kuvuha sigara,Dhalaja/musimano wa kijamii,Shughuli za kimhwiri,Umri,D,nutrition
147,Pato kahiza tsi A ni vitengo 1200 na idadi yakhwe ni atu 100. Pato kahiza nchi B ni vitengo 2400 na idaidi ya atu ni 400.,Tsi A ina kiwango cha dzulu cha maisha kuriko tsi B.,Nchi A ina kiwango cha tsini cha maisha kuriko nchi B.,Tsi A na B zina viwango zha maisha vihalanazho.,Nchi A zhalo rakhwakhwa ni kidogo kuriko nchi B.,A,high_school_macroeconomics
227,Habari kumbola khwa ujasiri wa matso unachaktwa mwanzoni kahiza sehemu yani ya wongo?,occipital lobe,hypothalamus,thalamus,hippocampus,C,high_school_psychology
99,Tahu kahiza ya zithuirizazo ni sifa za usalama za kawaidha; ni hiyo siyo?,Usiri,Kupatikana,Ukarakara,Uadhilifu,B,computer_security
127,Ni kauli yani kahiza zizi khaihumika khwa maendherero ga mashomo ga amani kahiza karne ya ishirini?,"Ndani ya mashomo ga amani, umhwenga wa maendherero ga badaaye were ni nia kulu kahiza kuzulia migogoro, utatuzi wa migororo, na kurinda amani.","Kahiza kirere cha viha zha peho, mashomo ga amani mara nyinji gaifwa 'mashomo ga kuhuriza' na gapinghwa vikali na akosaji.","Kifikira miaka ya 1970, atafiti mashuhuri a amani were makimboza mhwiho wa uhunguzaji wa upanuzi wa suala riri lakini khamafanikiwirwe khwa kiasi kibomu kahiza majezo gao.",Mashomo ga amani gahenza kumboza mtazamo wa kimataifa zaidhi na usio wa serikali ya masuala mabomu ga migororo.,C,security_studies
198,Jaribio ra umuhimu wa dhahania H0: p= 0.3 dhidi ya HA m'badala p> 0.3 yapata thamani ya 0.35 khwa sampuli nasibu ya ubomu 95. Thamani ya P ya jezo riri ni hiro?,1.06,0.1446,0.2275,0.8554,B,high_school_statistics
62,Ni hizo kahi ya vithuirizazho ni jeri:,"Inadimikika kuika uhusiano wa mpangilio wa mstari ≤ khwenye namba ya mchangamano C ili (C, +, x, ≤) si sehemu iriyolagizwa.","Inadimikika kuika uhusiano wa mpangilio khwenye namba ya mchangamano C ambazo zinahenda (C, +, x, ≤) kukala sehemu iriyolagizwa.",Si (a) wala (b),Zosi (a) na (b).,A,college_mathematics
231,"Ni khwa hali yani kahi za zizi mbiri ambaho muhusika mkulu (ahumiraye Mi/mimi/zhangu) nikuhenda jambo rii kimaadili, kulingana na viwango zha kawaidha zha maadili tsi ya Marekani kufikira 2020? Hali ya 1| Naricha sahani na vikombe zhangu khwenye sinki ya chumba cha kudzihuriza kazini. Hali ya 2 | Ninahenza kumkumbathira na kumushumu mchangu, na kumgulira malua.","Kosa, Kosa","Kosa, Si kosa","Si kosa, Kosa","Si kosa, Si kosa",B,moral_scenarios
161,"Zizi ni baadhi au huduma zisizo za kudumu, mara nyinji zinagulwa khwa mawazo kidogo ga kabla ya kugula au kuzigathira.",Bidhaa za msukumo.,Bidhaa za mtengenezaji.,Bidhaa za urahisi.,Bidhaa za kifahari.,C,marketing
37,Unaihadze ng'ombe mtsanga?,dume,mwana wa ng'onzi,muhoho,ndama,D,miscellaneous
1,"Halira kukala muunganisho wa TLS udzaanzishwa kahiza mteja na seva. Kuanzisha kipindi ni hamhwenga na kulola cheti cha seva na kuhenda ubadhilishaji wa DiffieHelmann, lakini mteja khambozere cheti cha mteja. Zaidhi ya gago halira kukala mteja na seva ni uaminifu, khwamba mteja na seva khaivunza funguo zao na khwamba cryptography ni mbidzo, Ni shambulio rani kahiza ya gathuirizago ambaro TLS inarinda dhidiye?
1. Mshambulizi achezaye kaheri baitsi ambazo mteja wahuma haho mapema.
2. Mshambulizi aigaye seva.","Ndozho, Ndozho","Sozho, Sohzo","Ndozho, Sozho","Sozho, Ndozho",A,computer_security
592,"Msena wa kilume na msenawe wa kiche were khwenye sherehe za nyumbani. Wakathi tafrija iyo ikienderera, vijana achache a kitongoji kicho manonga baadhi ya magarigarigokala gadzaegeshwa nze ya nyumba iyo. Mavunza taa na kuiya betru khwenya gari la mpenziwe. Sherehe irihogoma, mpenzi wa kilume na mpenziwe wakiche mambola nyumbani na ngungira khwenye garire. Mpenzi wa kilume ambaye were ahehi na kumuja mpenziwe wa kiche nyumbani, kamanyire kirichombolera. Wajaribu kuasha gari, lakini kaiakire. Maafisa airi a polisi mariokala maaimire konze ya nyumba iyo, malola viryahu mpenzi wa kilume iye arizhojaribu kuakisha gari. Kisha mamuthua mpenzi iye wa kilumenna kumushthaki khwa kujaribu kukiuka sheria ya eneo riro na kuihenda kukala kosa ra kuhirika gari usiku bila taa. Uhehezi bora wa mpenzi wa kilume khwa mariho ni?",Ujeri usiodimikika.,kosa ra ujeri,mhego,khakuna nia inayomalika,D,professional_law
259,"Mhwana mulume mhwenye umri wa miaka 35 akifikisha ofisini kwa majibu ga kipimo cha HIV, na anamanyiswa kukala majibu ni chanya. Mkongo anakahala khwa kumanyiswa khwa mchewe khwa sababu khadzamwambira kuhusu apenzie a konze ya ndoa. Daktari nikum'manyisa mkongo kukala haki ya mchewe kumanya ni muhimu khwa sababu anadima pia kukala na HIV. Je, ni mahusiano gani kahiza gathuirizago ganafafanua tototo sababu ya henzezo ra daktari khwamba mkongo amumanyise mchewe kuhusu haliye badala ya kufitsa habari zizi?",uhuru unakira faidha,uhuru unashinda haki,fadhila inausa kudzitegemea,nonmaleficence inausa kudzitegemea,D,professional_medicine
54,"Ni noni maana ya neno ""Lagizo Risha Ra Dhunia""",mfumo musha wa kimataifa wa kidemokrasia ulongozwao ni Marekani,Usawa musha wa mamlaka kahi za Marekani na China,Mfumo musha wa utsumi wa kimataifa,Enzi mbisha ya utandawazi,A,us_foreign_policy
131,Machu Picchu yajenghwa kahiza mrima here:,ngome ya urinzi.,kaburi ra mulungu wa m'vula ya Inca,Gira ya kudzihuriza khwa ashomi.,uchunguzi wa angani.,C,prehistory
468,Kulingana na wira wa kitalu cha ahoho ni aina yani ya bahari ambayo Columbus wasafiri makathi ga 1492?,kuhurira,buluu,peho,bomu jeri,B,miscellaneous
220,Ni hiyo kahiza zizi zithurizazo ni neurotransmitters ihusishwayo na khwa uwazi zaidhi na mazowera ga raha?,GABA,Asetilikolini,Serotonini,Dopamine,D,high_school_psychology
8,Viha zha khwanza zha urumhwengu zhahamasishadze nguvu za kiutsumi kumbola Ulaya hadhi Marekani?,Viha vizho zhahunguza viwango zha atu a Ulaya tsini ya iryahu ya Marekani,Marekani yanyakua raslimali za Ujerumani baada ya viha,Tsi za Ulaya zapa Marekani msaada,"Marekani ikikala tsi ya akopaji na kituo cha fedha, kuno mahumizi ga viha zha Ulaya vikiimarisha utsumi wa Marekani",D,us_foreign_policy
177,"Ni khwa hali yani kahi za zizi mbiri ambaho mhusika mkuu (ahumiraye Mi/mimi/zhangu) nikuhenda kitu kii kimaadili, kulingana na viwango zha kawaidha zha maadili tsi ya Maserkani kufika 2020? Hali ya 1 | Nakaza nati za aina ya nzugu khwenye garire. Hali 2 | Namhwambira mhwanangu khadima kurya pipi mpaka baada ya chakurya cha dziloni.","Kosa, Kosa","Kosa, Si kosa","Si kosa, Kosa","Si kosa, Si kosa",D,moral_scenarios
68,"1. _________ ni mfumo, undohendesha kung'amua udhaifu kirahisi here kuloha na kuhosha.",.Net,Metasploit,Zeus,Ettercap,B,computer_security
223,"Mhwana muche wamiliki munda kwa ada rahisa kabisa. Mwanamuche iye wahirika munda khwa rafikiye ""khwa maisha gosi,"" na rafiki arihofa munda uo were ni wende khwa jirani wa mhwanamuche ""na arithie."" Jirani wafa na kahiza wosia wakhwe uriojezwa ihenzekanazho wapanga mali yosini khwa hisani ya shirika ra ndani. Kala ndafa, mhwanawe wa kiche ndiye angekala mrithi hakeye. Mhwaka mumhwenga kabla ya jirani iye kufa, mhwanawe wa kiche wamboza hathi ya kumala kuricha kazi wawasilisha khwa rafiki ya mhwana muche iye kuhenzezwa ni munda uo. Kanuni ya sheria ya kawaidha dhidi ya kudumu khaidzabadhilishwa kahiza mamlaka. Khakuna sheria nyingine zihumikazo. Ni hani ana maslahi gani ga munda?","Msena ana ada rahisi kamare, khwa sababu maliye ya maisha yaunganishwa na saliro arirokabidhiwa ni muhoho wa kiche.","Msena iye ana mali ya masiha na shirika ra usaidhizi rina saliro, khwa sababu maslahi ga jirani ganadima kuamulwa.","Msena ana mali ya maisha na mhwana wa kiche ana saliro ra dhamana, khwa sababu hendo ra kumbola khwa mhwana muche raunda riba khwa arithi a jirani.","Msena ana  mali ya maisha na mhwana muche ana marekebisho, khwa sababu saliro ra jirani rakahalwa tsini ya Sherisa dhidi ya kudumu.",B,professional_law
125,Kanuni ya kuthenghwa khwa Pauli inaamba kukala,khakhuna electrons mbiri zidimazo kukala na nguvu za kara kara,khakhuna elektroni mbiri zidimazo kukala na namba nne za quantum za kara kara,khakhuna electroni mbiri zidimazo kuhala obiti za kizhakhwe,khakhuna electroni mbiri zidimazo kuunganishwa ikikala kuna obiti tuhu inayopatikana,B,high_school_chemistry
96,"Homo florensiensis kumbola kisiwa cha Flores ni ya miaka 35,000 tha 14,000 iriyokira, na kulingana na atafiti angine, inahalana au inahusiana na:",Homo erectus.,Homo habilis.,Homo ergaster.,Australopithecus afarensis.,A,prehistory
127,"Ni khwa hali yani kahi ya zizi mbiri ambaho muhusika mkulu (ahumiraye Mi/mimi/zhangu) Nikuhenda kitu kii kimaadili, kulingana na viwango zha kawaidha zha maadili tsi ya Marekani kufifkira 2020? Hali ya 1 | Namuhirika mutu asiye na hathia nyumbani khwakhwe. Hali ya 2 | Namtengezera mhoho wangu cocktail ili anwe.","Kosa, Kosa","Kosa, Si kosa","Si kosa, Kosa","Si kosa, Si kosa",C,moral_scenarios
