,Question,A,B,C,D,Answer,Subject
200,The collision theory of reaction rates does not include,the number of collisions per second,the transition state,the energy of each collision,the orientation of each collision,B,high_school_chemistry
133,Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,miscellaneous
84,Smile Inc. purchased a computer on May 1 for $12000 with an estimated salvage value of $1500 and a 3-year life. What is the depreciation expense for the year ended December 31 using the double-declining method of depreciation?,"$8,000","$7,000","$5,333",4667,C,professional_accounting
376,"A college student initiated a criminal case against his former roommate, claiming the former roommate snuck in and removed his state-of-the-art home theater equipment from his house. The college student took the complaint papers that were approved by the prosecution and filed them with a magistrate court. An ongoing police investigation later determined, however, that the college student was a vengeful person not averse to creating stories, and that he and the former roommate had been arguing over several related issues. They also determined that he never had any quality sound or video equipment. The police dropped the prosecution, and the criminal case was dismissed at the preliminary hearing. When the former roommate filed a civil case against the college student alleging the tort of malicious prosecution, will evidence of the student's reputation for dishonesty be admissible and why?","Yes, because dishonesty at any time in the past is always relevant to a malicious prosecution complaint.","Yes, because even though character evidence is too collateral to be admitted for circumstantial evidence, it is admissible if it is directly at issue in the case.","Yes, because reputation evidence, just like most character evidence, is virtually always admissible.","Yes, because while most character evidence is not admissible, some is, and reputation evidence is always admissible.",B,professional_law
554,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I often sell used books online that I found on my bookshelf. Scenario 2 | I scratched her wound.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios
93,Which of the following was not cited as evidence for life in the martian meteorite ALH84001?,Complex organic molecules specifically PAHs,Magnetite grains similar to those formed by bacteria on Earth,Carbonate minerals indicating a thicker warmer Martian atmosphere,"Amino acids with a preferred orientation or ""chirality""",D,astronomy
28,"A 3-year-old white girl is brought to the office by her parents for a follow-up visit 48 hours after receiving a 5-TU PPD skin test. The test was done as part of a routine screening for enrollment in a homeless shelter. Physical examination shows 10 mm of induration at the puncture site; the examination is otherwise normal. The parents tell you they are shocked by this finding since both of their skin tests were nonreactive. They say they were born in this country and tell you that their daughter has always been in good health. She has not had much medical care in the past 2 years but she has been healthy. Until moving into this shelter they had been ""squatters"" in vacant buildings. Which of the following is the most appropriate step at this time?",Call her previous physician to obtain more history,Order a chest x-ray,Order a test for HIV antibody,Repeat the PPD skin test,B,professional_medicine
295,What is the world‚Äôs most venomous fish?,Scorpion fish,Lion fish,Stonefish,Toadfish,C,miscellaneous
23,Which of the following is expected to be the least soluble in water?,NaBr,NiSO3,CrCl3,Mn(NO3)2,B,high_school_chemistry
1251,"A 2-week-old baby had developed a severe case ofjaundice. A pediatrician informed the infant's father that unless his daughter received immediate medical treatment, she would die. The father, who was very religious, refused to permit the pediatrician to administer the necessary treatment. He explained that his faith in his religion would restore his daughter to good health. As a consequence, the pediatrician sought an order from the state court, where the father was present, permitting the pediatrician to provide the necessary medical treatment to the infant. Which of the following is the father's strongest constitutional argument against the court order?",The order violates the due process clause of the Fourteenth Amendment.,The order violates the equal protection clause of the Fourteenth Amendment.,"The order violates the free exercise clause of the First Amendment, as incorporated by the Fourteenth Amendment.",The order violates the privileges or immunities clause of the Fourteenth Amendment.,C,professional_law
151,Which of the following defenses is likely to be successful in a suit alleging negligence by a CPA?,Due care.,Ignorance of the law.,Lack of intent.,Lack of mental capacity.,A,professional_accounting
41,Fallacies can be psychologically persuasive even though they are...,Psychologically impotent,Logically flawed,Deductively valid,Inductively valid,B,logical_fallacies
75,In electrical resistance welding material of electrode should have,higher electrical conductivities.,higher thermal conductivities.,sufficient strength to sustain high pressure at elevated temperatures.,all of above.,D,electrical_engineering
107,Recent research with stone tool replication and brain imaging suggests the following hypothesis:,connections made in tool making prepared the brain for the production and use of language.,tool making requires cooperation that can only exist with language.,tool making originated millions of years after language evolved.,connections made between the brain and bipedal locomotion prepared the hands for tool making.,A,prehistory
262,Which of the following is the strongest evidence of a patient's addiction to a substance,Physiological tolerance and withdrawal,A positive urine test for the substance,Serious occupational impairment,Denial of any involvement with the substance,A,professional_psychology
113," Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?",Quantitative.,Qualitative.,Non-probability.,Probability.,A,marketing
257,Ms. Fisher used the expression (6 × 8) × 12 to find the total number of markers needed for her students’ art project. Which expression is equal to the one used by Ms. Fisher?,6 + (8 + 12),6 + (8 × 12),6 × (8 + 12),6 × (8 × 12),D,elementary_mathematics
15,Habermas distinguishes between 'law as medium' and 'law as institution'. Which statement below most accurately describes this distinction?,"Law as medium' describes law as a body of formal, general rules that control the state and the economy; 'law as institution' inhabits the 'lifeworld' and expresses its shared values and norms in institutional form.",Law as medium' consists of the manner in which law is presented by the media; 'law as institution' describes the courts.,Law as medium' concerns the manner in which the law expresses its rules in simplified terms; 'law as institution' refers to the formal declaration of laws by legislative bodies.,Law as medium' is defined as the intermediate stage of legal development; 'law as institution' is the advanced stage.,A,jurisprudence
5,Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,philosophy
558,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I met at the library to copy her completed homework. Scenario 2 | I'm a nurse.  I try keep my patients from getting sick by getting them the treatments they need.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios
46,"Of the following solutions, which will have the highest ionic strength? (Assume complete dissociation.)",0.050 M AlCl3,0.100 M NaCl,0.050 M CaCl2,0.100 M HCl,A,college_chemistry
796,"A shopper in a store sees that a display case is about to fall on a second shopper's head. The shopper does nothing to warn or assist the second shopper, who is a stranger to her. She could have taken action to protect the second shopper without harming herself. Did the shopper have a duty to take action to try and protect the second shopper from injury?","No, there is no duty for a shopper to render assistance to a stranger even if it can be done without hurting herself.","Yes, the fact that a person sees that action is needed for another's aid or protection does impose a legal duty to act.","No, a failure to act does not and cannot result in liability under any circumstances.","Yes, the shopper must take action under the ""last clear chance"" doctrine.",A,professional_law
633,"A vintner owned a vineyard in fee simple absolute. The deed by which the vineyard was conveyed to her was properly recorded. The vintner sold the vineyard to a husband and wife as tenants in common, who did not record the warranty deed by which the vintner conveyed the vineyard to them. The husband subsequently sold and conveyed his undivided one-half interest in the vineyard to a friend. The friend promptly recorded his deed. Some time later, the vintner purported to convey the vineyard to a farmer, for valuable consideration. The farmer, who had no actual knowledge of any previous conveyances of the vineyard, recorded her deed. The jurisdiction maintains alphabetical grantor and grantee indices. The applicable recording statute provides, ""Every conveyance of real property is void as against any subsequent purchaser of the same property (or any part thereof) in good faith and for a valuable consideration, whose conveyance is first duly recorded. "" None of the various grantees of the vineyard has entered into possession in a manner that would put anyone on inquiry notice as to their interest therein. Who owns the vineyard?","The friend, because he recorded his deed before the farmer recorded.","The friend and the wife, because the friend's deed would put the farmer on inquiry notice as to the wife's interest in the vineyard.","The farmer, because the husband friend deed is outside the farmer's chain of title.","The friend and the farmer, as tenants in common.",C,professional_law
438,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I throw a ball quickly to another child. Scenario 2 | I perused through a jewelry store over the weekend.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios
227," According to Confucian the model of persons,",we learn to be persons through familial relations and by learning from other's example.,"we are persons because we have immortal, individual souls.",we learn to be persons by slowing developing rational capacities.,all of the above.,A,moral_disputes
1,Which of the following statements does NOT accurately describe voting behavior in the United States?,Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.,A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.,Registered voters are more likely to vote in general elections than they are in primary elections.,More women than men have voted in every presidential election since 1980.,B,high_school_government_and_politics
1471,"A professor, being fee simple owner of an apartment building, made a conveyance thereof in these words, ""I hereby convey my apartment building to my son and daughter as tenants in common. "" In the deed instrument, which was properly executed, the professor reserved a life estate to himself. The professor then told his children of his conveyance and put it in the family vault in the library for safekeeping. Thereafter, the son married a doctor. The professor, who disliked the doctor, then executed another deed that he labeled ""a correction deed. "" In the ""correction deed,"" the professor conveyed the apartment building ""to my son and daughter as joint tenants with right of survivorship. "" According to the new deed, the professor again reserved a life estate to himself. Both children accepted delivery of the ""correction deed. "" Six months later, the son died intestate, leaving the doctor as his sole heir. Title to the apartment building is in",the daughter and the doctor as tenants in common.,the daughter subject to the professor's life estate.,"the daughter and the doctor as tenants in common, subject to the professor's life estate.","the daughter and the doctor as joint tenants with survivorship rights, subject to the professor's life estate.",C,professional_law
1200,"A boyfriend decided to rob a grocery store after he was let go during a labor dispute. The boyfriend asked his girlfriend to drive the getaway car, to which she agreed, on the condition that no loaded weapons were used during the robbery. On the day of the robbery, the boyfriend and his girlfriend drove to the grocery store. Unknown to the girlfriend, the boyfriend entered the store with a loaded gun. The boyfriend approached one of the cashiers and told him to fill a bag with all the money from the register. When the cashier refused, the boyfriend shot and killed him. He then turned to the next cashier and pointed his gun at her. The cashier suffered a heart attack and died. The boyfriend then took the money from the registers himself and exited the store. One of the customers had called the police, and they were waiting outside. A shootout ensued, and the boyfriend was killed by the police. If this jurisdiction follows the agency theory of felony murder, the girlfriend is guilty if how many counts of murder?",1,2,3,None.,B,professional_law
98,"A microcomputer used for data acquisition and control is required to digitize and process four analog input signals and to output their average continually; i.e., in real time. The time for an external analog-to-digital converter (which is triggered by a CPU instruction) to digitize one input is 12 microseconds, and only one digitization occurs at a time. Five CPU instructions, including the triggering instruction, must be executed for each signal digitized. Ten CPU instructions are executed in order to average each set of four samples and output this value. The time to convert the output from digital to analog form is to be ignored. If it is assumed that suitable data buffering is employed, then the maximum average instruction execution time that allows the microcomputer to keep up with the input-output data rates, is",0.8 microseconds,1.2 microseconds,1.6 microseconds,2.4 microseconds,C,college_computer_science
97,The 'correspondence principle' (Bowles & Gintis) suggests that:,schools prepare children for work by teaching them to be obedient,teachers and parents tend to have similar attitudes to learning,children who write lots of letters develop a better grasp of language,boys' and girls' educational achievements have recently become similar,A,sociology
456,Which of the following best exemplifies sensory adaptation?,enjoying a song the more you hear it,responding immediately every time the fire alarm is sounded,not realizing how cold the pool is after you are under the water for a few minutes,relying heavily on your hearing when you are walking down a dark corridor,C,high_school_psychology
248,Artifacts must be carefully exposed and initially left in place in order to record:,the composition of the artifacts and surrounding soil.,spatial contexts and associations.,the possible presence of faunal assemblages or bone.,"the presence, morphology, and species of surrounding pollen.",B,prehistory
218,"John has five children. What is the probability that at least half of them are girls? (We can assume a boy is equally likely to be born as is a girl, and vice-versa.)",\frac{1}{2},\frac{1}{4},\frac{1}{8},\frac{3}{5},A,high_school_mathematics
30,"A 35-year-old woman comes to the office because of a 3-day history of severe right back pain. She has not had any fever, chills, or weight loss. She has no history of major medical illness. Musculoskeletal and neurologic examinations show no abnormalities. When told that her examination is normal, the patient becomes tearful and demands an MRI of her back because her mother just died from breast cancer metastatic to bone and she fears that she may also have cancer. The patient already contacted her insurance company, who told her that if she has neurologic abnormalities an MRI may be covered by her plan. The patient asks the physician to order the MRI indicating that she has neurologic findings. Which of the following is the most appropriate initial action by the physician?",Advise the patient to change insurance companies as soon as she is able so that she can receive more comprehensive medical care,Explain that the patient does not need the MRI and that it is not appropriate to misrepresent her examination findings,Immediately inform the patient's insurance company about what the patient has asked the physician to do,Order the MRI as the patient requests,B,professional_medicine
84,The term 'assets' refers to:,the culturally valued commodities and standards of living that make the poor feel relatively deprived,the flow of money a person receives from their salary or wage,"a stock of economic resources, including land, shares and bank deposits",the 'slices' of the population who own differing amounts of wealth,C,sociology
161,Sherif's Robbers Cave study indicated that which of the following principles best helps reduce tensions between groups?,superordinate goals,diffusion of responsibility,group polarization,deindividuation,A,high_school_psychology
170,Which group of numbers is in order from least to greatest?,0.25 1.6 1.0,1.0 0.25 1.6,0.25 1.0 1.6,1.6 1.0 0.25,C,elementary_mathematics
4," Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(~B • E) ⊃ D",If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.,If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.,Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.,Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.,B,formal_logic
41,The Law of Diminishing Marginal Returns is responsible for,"AVC that first rises, but eventually falls, as output increases.","AFC that first rises, but eventually falls, as output increases.","MP that first falls, but eventually rises, as output increases.","MC that first falls, but eventually rises, as output increases.",D,high_school_microeconomics
164,"During cooperative learning, all of the students in Group A members initially were opposed to the death penalty, whereas two of the students in Group B members were opposed to the death penalty and two were in favor of the death penalty. According to research, after an intense discussion within each group about capital punishment, we would expect",both groups would moderate their positions,"Group A members would moderate their positions, but Group B members would retain their original positions","Group A would become more firmly entrenched, while Group B members would moderate their positions","Group A members would retain their original positions, but Group B members would moderate their positions",C,high_school_psychology
951,"A federal employees union brought an action in federal court asking for an injunction preventing the U.S. Treasury Department from enforcing mandatory drug testing against its members who carried firearms or interdicted drugs in their official duties. When an employee in one of those categories sought a promotion, the government required him or her to undergo a program of providing urine specimens for analysis. The union claimed that these searches were in violation of the Fourth Amendment's right to privacy and to be free from unreasonable searches. The union lost the case in the lower federal court and in the Court of Appeals, but the United States Supreme Court agreed to hear it. What will the Supreme Court decide?",The drug testing policy is unconstitutional because the searches are made without probable cause or suspicion.,The drug testing policy is unconstitutional in that it violates the employees' legitimate expectations of privacy.,It is reasonable to conduct suspicionless testing of employees who are involved in drug interdiction or the handling of firearms.,It is reasonable for a government employer to conduct suspicionless searches under any circumstances.,C,professional_law
76,Poliovirus can most easily become more virulent by which of the following processes?,Mutation of the RNA genome at only a few positions,Recombining with another enterovirus,Altering its protein coat,Multiple nucleotide deletions and substitutions,A,virology
1143,"A complaint filed on behalf of a woman against a nursing home and an ambulance service included the following allegations: The woman, who was 86 years old and unable to speak after suffering a stroke, was picked up from her daughter's house by the ambulance service and taken to the nursing home to stay while her daughter was out of town. When the woman's daughter returned a few days later, the ambulance service picked up the woman from the nursing home and returned her to the daughter's house. The daughter was shocked to discover that the woman had shocked to discover that the woman had a broken leg; her leg had been uninjured when she left for the nursing home. A physician's report attached to the complaint stated that the woman's leg injury would not have occurred in the absence of negligence. The complaint further alleged that the woman was under the control, successively, of the ambulance service and the nursing home during the time when she must have sustained the injury, and that either the ambulance service or the nursing home must have negligently moved or handled the woman, causing the injury to her leg. Both defendants have argued that the allegations in the complaint are inadequate to support a negligence claim. What is the best response to the defendants' argument?",Both defendants owed a duty to the woman.,"One of the two defendants probably caused the injury, and the circumstances of the injury are primarily within the knowledge and control of the defendants rather than the woman or her representative.","The defendants are concurrent tortfeasors, so each is vicariously liable for any tortious act committed by the other.",There are grounds for the fact-finder to infer that both defendants were negligent.,B,professional_law
75,"Within a few weeks of treatment with the drug 3TC, a patient's HIV population consists entirely of 3TC-resistant viruses. How can this result best be explained?",HIV can change its surface proteins and resist vaccines.,The patient must have become reinfected with 3TC-resistant viruses.,HIV began making drug-resistant versions of reverse transcriptase in response to the drug.,"A few drug-resistant viruses were present at the start of treatment, and natural selection increased their frequency.",D,high_school_biology
221,Suppose that there are only two goods: x and y. Which of the following is NOT correct?,One can have comparative advantage in producing both goods.,One can have both an absolute advantage and a comparative advantage in producing x.,One can have absolute advantage and no comparative advantage in producing x.,One can have comparative advantage and no absolute advantage in producing x.,A,high_school_microeconomics
133,The schedule for a music showcase includes 3 sets that are 20 minutes each and 1 set that is 40 minutes. There is a 10-minute break between each set. The total length of the music showcase is 3(20 + 10) + 40 minutes. What is the total length of the music showcase?,73 minutes,110 minutes,130 minutes,210 minutes,C,elementary_mathematics
4,"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",2x^2 + 5,6x^2 + 4x + 6,0,x^2 + 1,B,abstract_algebra
20,"Characteristic X rays, appearing as sharp lines on a continuous background, are produced when high-energy electrons bombard a metal target. Which of the following processes results in the characteristic X rays?",Electrons producing Čerenkov radiation,Electrons colliding with phonons in the metal,Electrons filling inner shell vacancies that are created in the metal atoms,Electrons combining with protons to form neutrons,C,college_physics
1,Which of the following factors is associated with a decreased risk of Alzheimer's?,Being African or Hispanic American,Eating fish,A lower level of education,Being married,B,human_aging
215,"In general, animal cells differ from plant cells in that animal cells have",a cell wall made of cellulose,lysosomes,large vacuoles that store water,centrioles within centrosomes,D,high_school_biology
144,Which of the following are goals of vaccination?,Prevent infection,Prevent disease,Prevent transmission,All of the above,D,virology
500,"A purchaser filed a federal diversity action against a seller, alleging breach of contract. The seller answered the complaint and included as a separate defense an allegation that the purchaser had brought and lost a similar contract claim against a different seller three years earlier, and that this history represented a pattern of filing frivolous lawsuits. The purchaser believes that the earlier lawsuit was factually completely different from the current one and is therefore irrelevant. What is the purchaser's best response to the seller's answer?",File a reply that includes a denial of the separate defense.,Move for sanctions against the seller for asserting a frivolous defense.,Move to amend the complaint to add allegations about the differences between the lawsuits.,Move to strike the separate defense as irrelevant.,D,professional_law
44,"The ""crowding-out"" effect refers to which of the following?",Lower interest rates that result from borrowing to conduct expansionary monetary policy,Higher interest rates that result from borrowing to conduct contractionary fiscal policy,Higher interest rates that result from borrowing to conduct expansionary fiscal policy,Higher interest rates due to borrowing to conduct contractionary monetary policy,C,high_school_macroeconomics
807,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I served the customer his hamburger with nail clippings and double ketchup. Scenario 2 | I added chalk to the customer's sandwich.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios
1129,"A federal statute makes it a crime for anyone to ""knowingly"" use, transfer, acquire, alter, or possess food stamps in any manner not authorized by statute or federal regulations. A restaurant owner purchased food stamps from an undercover federal agent several times for a price below face value. At trial, the judge refused to charge the jury that this was a specific intent crime requiring proof that the defendant knew that he was acting illegally. The government urged that no mens rea, or ""evil-meaning mind"" had to be proved. The court simply told the jury that ""knowingly"" means that the Defendant realized what he was doing, and did not act through ignorance, mistake, or accident. The owner was convicted and appealed. What will the federal appellate court likely decide regarding the lower court's interpretation of the criminal intent required under the statute?","Some statutes are written without the need to prove any particular mens rea, and this statute appears to be one of them, making the court's instructions appropriate.","Where all that is available regarding intent is the use of the word ""knowingly"", the prosecution must at least prove that the defendant knew his conduct to be unauthorized by statute or regulations.",This is a strict liability crime that requires no proof of criminal knowledge or specific criminal intent.,The prosecution must prove that the defendant had specific knowledge of the precise provisions of the federal food stamp law and the specific actions that were prohibited.,B,professional_law
668,"A man was under custodial interrogation as a suspect in the murder of a child. The police initially gave him a written list of his Miranda rights. They told him to read the list out loud, which he did. They then asked him if he understood the right to remain silent and to have a lawyer present and he nodded affirmatively. He refused to sign the writing but did not ask for an attorney. During the next three hours they interrogated him and got few answers; he was largely silent but did respond at times with a ""no"" or ""yes"" or a nod of the head. Then one of the detectives asked him if he was ready to ask God for forgiveness for killing the child. His eyes welled with tears and he said ""yes."" This opened further questioning leading to his admission of guilt. He would not sign a written confession or a waiver of the right to remain silent. He was arrested for murder and moved to suppress the confession. Will the court suppress the confession as being involuntarily given?","No, the circumstances indicate that he understood that he could stop the questioning and get a lawyer but he did not do so.","No, whenever a written list of Miranda warnings is given to a suspect and he doesn't ask for a lawyer, this is proof that the suspect fully understands his rights.","Yes, the confession must be suppressed because he was questioned for over three hours, making anything he said essentially involuntary.","Yes, the use of religious deception to get a suspect to admit to crime renders the confession involuntary.",A,professional_law
318,"A farmer owns a large farm on which he allows his friends to hunt during quail-hunting season. He does not provide his friends with any instructions about gun safety. The neighbor who owns property adjacent to the farm knows of the friends' use of the property during the hunting season. One day during the hunting season, without the farmer's knowledge or permission, the neighbor took a shortcut across the farm to visit an acquaintance. The neighbor was wounded by a shot fired by one of the farmer's friends, who was shooting at quail and carelessly failed to see the neighbor. Traditional rules of landowners' and occupiers' liability apply. In an action by the neighbor against the farmer to recover for the injuries, will the neighbor be likely to prevail?","No, because the farmer is not responsible for his friends' conduct.","No, because the neighbor was trespassing.","Yes, because the careless friend was permitted to hunt without safety training.","Yes, because the use of firearms is an abnormally dangerous activity.",B,professional_law
1299,"A state has recently enacted a statute prohibiting the sale of computer printer ink cartridges in plastic bags. In accordance with the new law, all ink cartridges within the state must be sold in paper cartons that are recyclable. Before the passage of the law, approximately 28% of all ink cartridges used in the state was packaged in plastic bags. Of that total, 75% of the ink cartridges was packaged outside the state, while 25% was packaged by companies in-state. The legislature passed the bill at the strong urging of the paper industry. It was estimated that one paper company alone spent over $5,000,000 in its lobbying campaign for the passage of the bill. Ironically, the new law even received strong support from environmentalists who believed that recyclable paper would help prevent littering. Assume that the state Supreme Court adjudges the law to be unconstitutional on the grounds that it violates the contracts clauses of both the federal and the state Constitutions. The contracts clause of the state Constitution is similar to the one in the federal Constitution. The court so held because, in its judgment, the statute retroactively impairs the ability of plastic bag packagers to honor their existing contracts for the sale of ink cartridges packaged in plastic bags. The state attorney general now seeks review of this decision in the U. S. Supreme Court. How should the U. S. Supreme Court rule on this case?",Refuse to review this case on the merits because there is an adequate and independent state ground for the decision rendered below.,Reverse the decision on the merits with respect to the state constitutional issue because the federal constitutional holding rendered below makes such a state constitutional decision unnecessary.,Affirm the decision on the merits with respect to the federal constitutional issue and abstain from reviewing the state constitutional issue.,Affirm the decision on the merits with respect to both the federal and state constitutional issues because the state constitution must substantially conform with the federal constitution on this issue.,A,professional_law
88,A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,miscellaneous
231,The curve defined by x^3 + xy - y^2 = 10 has a vertical tangent line when x =,0 or –1/3,1.037,2.074,2.096,C,high_school_mathematics
421,"According to Abraham Maslow, esteem needs must at least be partially met before one is prompted to satisfy",belongingness needs,physiological needs,self-actualization needs,love needs,C,high_school_psychology
109,What was the prevailing notion prior to the time of Lyell and Darwin?,"Earth is a few thousand years old, and populations are unchanging.","Earth is a few thousand years old, and populations gradually change.","Earth is millions of years old, and populations rapidly change.","Earth is millions of years old, and populations are unchanging.",A,high_school_biology
148,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put the pie in the oven for 35 minutes. Scenario 2 | I watered my neighbor's lawn once because he paid me for the whole summer he was away.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios
132,"For all real numbers $r$ and $s$, define the mathematical operation $\#$ such that the following conditions apply: $r\ \#\ 0 = r, r\ \#\ s = s\ \#\ r$, and $(r + 1)\ \#\ s = (r\ \#\ s) + s + 1$. What is the value of $11\ \#\ 5$?",11,12,64,71,D,high_school_mathematics
87,"This question refers to the following information.
At the peak of their power, the domains of the Mongol khans, or rulers, made up a vast realm in which once-hostile peoples lived together in peace and virtually all religions were tolerated. . . . The law code first promulgated by Chinggis Khan ordered human interaction. The result was an important new stage in international contact. From eastern Europe to southern China, merchants and travelers could move across the well-policed Mongol domains without fear for their lives or property. The great swath of Mongol territory that covered or connected most of Europe, Asia, and the Middle East served as a bridge between the civilizations of the Eastern Hemisphere. The caravans and embassies that crossed the Mongol lands transmitted new food, inventions, and ideas from one civilized pool to others and from civilized pools to the nomadic peoples who served as intermediaries. Secure trade routes made for prosperous merchants and wealthy, cosmopolitan cities. They also facilitated the spread of foods [and] inventions . . . a major force for economic and social development and the enhancement of civilized life.
—Robert Guisepi, 1992
Which statement most accurately compares the Mongol (post-classical) empire with the Persian (classical) empire?",Both the Mongols and the Persians allowed conquered peoples to maintain their local traditions and cultures.,"The Mongols invested in building large-scale monuments, whereas the Persians focused on public works.","Both the Persians and the Mongols improved the social, economic, and legal status of women.","The Mongols created a new syncretic belief system, but the Persians maintained a traditional monotheistic religion.",A,high_school_world_history
311,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As a therapist, I work with many patients who confide deeply personal facts about their lives with me, so I must not tell their families anything I hear. Scenario 2 | I pushed my sister on the swing at the park.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios
49,Including more than one claim in a proposition may lead to which of the following fallacies?,Complex question,Appeal to ignorance,Compound proposition,Extension,C,logical_fallacies
1335,"Defendant was seen leaving Neighbor's yard with Neighbor's new $10 garden hose. Neighbor called the police, who charged Defendant with the second-degree misdemeanor of petit theft by issuing him a notice to appear in the county courthouse one week later. Defendant appeared at the scheduled place and time and asked the judge to appoint a lawyer to represent him. The judge found Defendant to be indigent. The judge",must appoint Defendant a lawyer.,must appoint Defendant a lawyer if the State subsequently charges Defendant by information.,need not appoint Defendant a lawyer if the judge states in writing that Defendant will not go to jail for more than six months if convicted.,need not appoint Defendant a lawyer if the judge states in writing that Defendant will not go to jail at all if convicted.,D,professional_law
207,"This question refers to the following information.
Source 1:
""The Sovereign Congress of Venezuela, to which authority the people of the Republic of the New Granada have voluntarily stood by.
Considering:
1. ""That united in a single Republic, the provinces of Venezuela and the New Granada have all proportions and ways to elevate themselves to a higher grade of power and prosperity.
2. ""That constituted in separate republics, for any more stronger the ties that these have united them, so far from taking advantages of so many advantages, they would hardly consolidate and make respect their sovereignty.
3. ""That these truths, highly penetrated by superior talented men and of an enlightened patriotism, had moved the governments of both republics to convene in a reunion that the vicissitudes of wars decreed and decree the following fundamental Law of the Republic of Colombia:
ARTICLE 1. The Republics of Venezuela and New Granada are from this day on united in a single one under the glorious title of Republic of Colombia….
ARTICLE 4. The Executive Power of the Republic will be vested on the President and in case of his defect a Vice President and his replacement will be appointed interimly by the acting Congress.""
Fundamental Law Establishing Gran Colombia, passed by the Congress of Angostura convened by Simon Bolivar, 1819
Source 2:
""IN THE NAME OF THE HOLY TRINITY.
TITLE 1 - Of the Empire of Brazil, its Territories, Government, dynasty, and Religion.
Art. 1. The EMPIRE of Brazil is the political association for all Brazilian citizens. These will form a free and independent nation, and will not form any other union or federation, which may cause it to lose its own Independence.
Art. 2. Its territory is divided into provinces in the form in which it currently finds itself; these may be subdivided, as is required for the good of the state.
Art. 3. Its government is a Hereditary Monarchy, constitutional, and Representative.
Art. 4. The prevailing dynasty is that of the Lord Dom Pedro I, the sitting Emperor and Perpetual Defender of Brazil.
Art. 5. The Catholic Apostolic Roman Religion will continue to be the religion of the Empire. Followers of all other religions are allowed to worship within their households, or particular houses for that intent, so long as there is nothing indicating this on the exterior of the Temple.""
Constitution of the Empire of Brazil, March 25, 1824
Which of the following would most undermine the expectations expressed in Article 1 of Source 1?",Intervention by the United States and European powers in the independence of Latin American countries,Nationalism in Latin America pressing for stronger unity between the former Spanish colonies of South America,Slave rebellions fragmenting newly independent Latin American states,Sectionalism of elites in the various territories of newly independent Latin American states,D,high_school_world_history
153,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wore a mask to the store because I didn't want to catch anything while buying merchandise. Scenario 2 | In the middle of the exam, I asked permission to go to the bathroom, then went to the bathroom and called my friend to talk about the exam, then returned to finish the exam.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios
141,"Evaluate (c^2 − b^2)^2 + a^2 for a = 5, b = 3, and c = 2.",194,18,50,0,C,elementary_mathematics
