,Question,A,B,C,D,Answer,Subject,
376,"Kāds koledžas students ierosināja krimināllietu pret savu bijušo dzīvesbiedru, apgalvojot, ka bijušais dzīvesbiedrs ieklīdis viņa mājā un iznesis no tās modernāko mājas kinozāles aprīkojumu. Koledžas students paņēma prokuratūras apstiprinātos sūdzības dokumentus un iesniedza tos miertiesā. Tomēr vēlāk notiekošajā policijas izmeklēšanā tika noskaidrots, ka koledžas students ir atriebīgs cilvēks, kas nevairās radīt stāstus, un ka viņš un bijušais istabas biedrs ir strīdējušies par vairākiem saistītiem jautājumiem. Viņi arī noskaidroja, ka viņam nekad nav bijis nekādas kvalitatīvas skaņas vai videoiekārtas. Policija izbeidza apsūdzību, un krimināllieta tika izbeigta sākotnējā tiesas sēdē. Kad bijušais istabas biedrs iesniedza civilprasību pret koledžas studentu, apgalvojot, ka tas ir ļaunprātīgas apsūdzības nodarījums, vai pierādījumi par studenta negodprātīgas apsūdzības reputāciju būs pieņemami un kāpēc?","Jā, jo negodīgums jebkurā pagātnes brīdī vienmēr ir būtisks ļaunprātīgas apsūdzības sūdzībai.","Jā, jo, lai gan rakstura pierādījumi ir pārāk blakus pierādījumi, lai tos varētu atzīt par netiešiem pierādījumiem, tie ir pieļaujami, ja tie ir tieši saistīti ar lietu.","Jā, jo reputācijas pierādījumi, tāpat kā lielākā daļa rakstura pierādījumu, ir praktiski vienmēr pieļaujami.","Jā, jo, lai gan lielākā daļa rakstura pierādījumu nav pieļaujami, daži ir, un reputācijas pierādījumi vienmēr ir pieļaujami.",B,professional_law,376professional_law
554,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? 1. scenārijs | Es bieži internetā pārdodu lietotas grāmatas, kuras esmu atradis savā grāmatu plauktā. 2. scenārijs | Es saskrāpēju viņas brūci.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",C,moral_scenarios,554moral_scenarios
93,Kura no šīm vielām nav minēta kā dzīvības pierādījums marsiešu meteorītā ALH84001?,"Sarežģītas organiskās molekulas, īpaši PAHs","Magnetīta graudi, kas līdzīgi tiem, ko veido baktērijas uz Zemes","Karbonātu minerāli, kas norāda uz biezāku un siltāku Marsa atmosfēru","Aminoskābes ar vēlamo orientāciju jeb ""chiralitāti""",D,astronomy,93astronomy
28,"Trīs gadus vecu balto meiteni vecāki atved uz kabinetu uz atkārtotu vizīti 48 stundas pēc tam, kad viņai tika veikts 5-TU PPD ādas tests. Tests tika veikts kā daļa no kārtējā skrīninga, lai uzņemtu bezpajumtnieku patversmē. Fizikālā izmeklēšana liecina par 10 mm lielu indurāciju punkcijas vietā; citādi izmeklēšana ir normāla. Vecāki stāsta, ka ir šokēti par šo atradumu, jo abi ādas testi bija bez reakcijas. Viņi saka, ka ir dzimuši šajā valstī, un stāsta, ka viņu meita vienmēr ir bijusi veselīga. Pēdējo divu gadu laikā viņa nav daudz ārstējusies, bet ir bijusi vesela. Līdz pārcelšanās uz šo patversmi viņi bija ""skvoteri"" tukšās ēkās. Kurš no turpmāk minētajiem soļiem šobrīd ir vispiemērotākais?","Sazinieties ar viņas iepriekšējo ārstu, lai iegūtu plašāku slimības vēsturi",Pasūtiet krūškurvja rentgenu,Pasūtiet HIV antivielu testu,Atkārtojiet PPD ādas testu,B,professional_medicine,28professional_medicine
295,Kāda ir pasaulē indīgākā zivs?,Skorpiona zivs,Lauvas zivs,Akmeņzivs,Rupucis,C,miscellaneous,295miscellaneous
23,Kura no šīm vielām vismazāk šķīst ūdenī?,NaBr,NiSO3,CrCl3,Mn(NO3)2,B,high_school_chemistry,23high_school_chemistry
1251,"Divas nedēļas vecam bērnam bija attīstījusies smaga dzelte. Pediatrs informēja zīdaiņa tēvu, ka, ja viņa meita nesaņems tūlītēju medicīnisko palīdzību, viņa nomirs. Tēvs, kurš bija ļoti reliģiozs, atteicās atļaut pediatram veikt nepieciešamo ārstēšanu. Viņš paskaidroja, ka viņa ticība viņa reliģijai atjaunos viņa meitas veselību. Tā rezultātā pediatrs lūdza štata tiesas, kurā piedalījās tēvs, rīkojumu, kas pediatram ļautu sniegt nepieciešamo medicīnisko aprūpi zīdainim. Kurš no turpmāk minētajiem ir tēva spēcīgākais konstitucionālais arguments pret tiesas rīkojumu?",Ar rīkojumu tiek pārkāpta Četrpadsmitā grozījuma pienācīga procesa klauzula.,Ar rīkojumu tiek pārkāpta Četrpadsmitā grozījuma vienlīdzīgas aizsardzības klauzula.,"Ar rīkojumu tiek pārkāpta Pirmā grozījuma brīvas izpausmes klauzula, kas iekļauta Četrpadsmitajā grozījumā.",Ar rīkojumu tiek pārkāpta Četrpadsmitā grozījuma privilēģiju vai imunitātes klauzula.,C,professional_law,1251professional_law
151,"Kurš no turpmāk minētajiem aizstāvības argumentiem, iespējams, būs veiksmīgs prasībā, kurā apgalvots, ka CPA ir pieļāvis nolaidību?",Pienācīga rūpība.,Likuma nezināšana.,Nodoma trūkums.,Garīgo spēju trūkums.,A,professional_accounting,151professional_accounting
41,"Kļūdas var būt psiholoģiski pārliecinošas, lai gan tās ir...",Psiholoģiski impotentas,Loģiski kļūdainas,Deduktīvi derīgas,Induktīvi derīgas,B,logical_fallacies,41logical_fallacies
75,Elektriskās pretestības metināšanā elektrodu materiālam jābūt ar,augstāku elektrisko vadītspēju.,augstāku siltuma vadītspēju.,"pietiekamu izturību, lai izturētu augstu spiedienu paaugstinātā temperatūrā.",visiem iepriekš minētajiem parametriem.,D,electrical_engineering,75electrical_engineering
107,Jaunākie pētījumi ar akmens rīku replikām un smadzeņu attēlveidošanu izvirza šādu hipotēzi:,rīku izgatavošanā izveidotie savienojumi sagatavoja smadzenes valodas radīšanai un lietošanai.,"rīku izgatavošanai nepieciešama sadarbība, kas var pastāvēt tikai ar valodu.",rīku izgatavošana radās miljoniem gadu pēc valodas evolūcijas.,"savienojumi, kas izveidojās starp smadzenēm un divkājaino pārvietošanos, sagatavoja rokas rīku izgatavošanai.",A,prehistory,107prehistory
262,"Kurš no šiem pierādījumiem ir visspēcīgākais pierādījums tam, ka pacients ir atkarīgs no kādas vielas",Fizioloģiskā tolerance un abstinence,Pozitīvs urīna tests uz vielu,Nopietni profesionālie traucējumi,Noliedz jebkādu saistību ar vielu,A,professional_psychology,262professional_psychology
113,"Kura veida pētījumu metodes ir paredzētas, lai no daudziem respondentiem iegūtu atbildes uz iepriekš noteiktiem, standartizētiem jautājumiem?",Kvantitatīvie.,Kvalitatīvie.,Ne- varbūtības.,Varbūtības.,A,marketing,113marketing
257,"Fišeres kundze izmantoja izteicienu (6 × 8) × 12, lai noteiktu kopējo marķieru skaitu, kas nepieciešams skolēnu mākslas projektam. Kura izteiksme ir vienāda ar Fišeres kundzes izmantoto?",6 + (8 + 12),6 + (8 × 12),6 × (8 + 12),6 × (8 × 12),D,elementary_mathematics,257elementary_mathematics
15,"Hābermāss izšķir ""tiesības kā mediju"" un ""tiesības kā institūciju"". Kurš no turpmāk minētajiem apgalvojumiem visprecīzāk raksturo šo atšķirību?","Tiesību kā medijs raksturo tiesības kā formālu, vispārīgu noteikumu kopumu, kas kontrolē valsti un ekonomiku; ""tiesības kā institūcija"" apdzīvo ""dzīves pasauli"" un institucionālā formā pauž tās kopīgās vērtības un normas.","Tiesības kā medijs sastāv no tā, kā tiesības pasniedz plašsaziņas līdzekļi; ""tiesības kā institūcija"" raksturo tiesas.","Likums kā medijs"" attiecas uz veidu, kādā likums izsaka savas normas vienkāršotā veidā; ""likums kā institūcija"" attiecas uz likumdevēju iestāžu oficiālo likumu deklarēšanu.","Likums kā medijs"" ir definēts kā tiesību attīstības starpposms; ""likums kā institūcija"" ir progresīvais posms.",A,jurisprudence,15jurisprudence
5,"Nāgels apgalvo, ka lielākā daļa skeptisko argumentu:",ir rezultāts patvaļīgi stingru standartu piemērošanai.,balstās uz lingvistiskām neskaidrībām.,ir loģiski pašapgāžami.,izaug no parasto standartu konsekventas piemērošanas.,D,philosophy,5philosophy
558,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs 1 | Es satiku viņu bibliotēkā, lai kopētu viņas izpildīto mājasdarbu. 2. scenārijs | Es esmu medmāsa.  Es cenšos pasargāt savus pacientus no saslimšanas, nodrošinot viņiem nepieciešamo ārstēšanu.","nepareizi, nepareizi","nepareizi, nav nepareizi","nav nepareizi, nav nepareizi","nav nepareizi, nav nepareizi",B,moral_scenarios,558moral_scenarios
46,Kurš no šiem šķīdumiem būs ar vislielāko jonu stiprumu? (Pieļaujiet pilnīgu disociāciju.),"0,050 M AlCl3","0,100 M NaCl","0,050 M CaCl2","0,100 M HCl",A,college_chemistry,46college_chemistry
796,"Pircējs veikalā redz, ka vitrīna tūlīt nokritīs otram pircējam uz galvas. Pircēja neko nedara, lai brīdinātu vai palīdzētu otram pircējam, kurš viņai ir svešs. Viņa varēja rīkoties, lai pasargātu otru pircēju, nekaitējot sev. Vai pārdevējai bija pienākums rīkoties, lai mēģinātu pasargāt otru pircēju no ievainojumiem?","Nē, pārdevējai nav pienākuma sniegt palīdzību svešiniekam, pat ja to var izdarīt, nekaitējot sev.","Jā, fakts, ka persona redz, ka ir nepieciešama rīcība, lai sniegtu palīdzību vai aizsargātu citu, uzliek juridisku pienākumu rīkoties.","Nē, bezdarbība nekādos apstākļos nerada un nevar radīt atbildību.","Jā, pārdevējai ir jārīkojas saskaņā ar ""pēdējās skaidras iespējas"" doktrīnu.",A,professional_law,796professional_law
633,"Vīnkopim piederēja vīna dārzs ar absolūtu īpašumtiesībām. Līgums, ar kuru viņai tika nodots vīna dārzs, tika pareizi reģistrēts. Vīnkopis pārdeva vīna dārzu vīram un sievai kā kopīpašniekiem, kuri nereģistrēja garantijas aktu, ar kuru vīnkopis nodeva viņiem vīna dārzu. Pēc tam vīrs pārdeva un nodeva savu nedalīto pusi no vīna dārza draugam. Draugs nekavējoties reģistrēja savu aktu. Pēc kāda laika vīnogulāju īpašnieks vīnogu dārzu nodevās lauksaimniekam, saņemot par to atlīdzību. Lauksaimniece, kurai nebija nekādu faktisku ziņu par iepriekšēju vīna dārza nodošanu, reģistrēja savu aktu. Jurisdikcija uztur alfabētiskus piešķīrēju un saņēmēju rādītājus. Piemērojamajā reģistrēšanas likumā ir noteikts: ""Ikviena nekustamā īpašuma nodošana ir spēkā neesoša attiecībā uz jebkuru nākamo tā paša īpašuma (vai jebkuras tā daļas) labticīgu pircēju, kurš to veic labticīgi un par vērtīgu atlīdzību un kura nodošana ir pienācīgi reģistrēta pirms tam. ""Neviens no vīna dārza dažādajiem īpašniekiem nav stājies valdījumā tādā veidā, kas ļautu ikvienam veikt izmeklēšanu par savu līdzdalību šajā īpašumā. Kam pieder vīna dārzs?","Draugam, jo viņš reģistrēja savu aktu, pirms to reģistrēja lauksaimnieks.","Draugam un sievai, jo drauga akts liktu lauksaimniekam apzināt sievas intereses vīna dārzā.","Lauksaimniekam, jo drauga vīra akts ir ārpus lauksaimnieka īpašumtiesību ķēdes.",Draugam un lauksaimniekam kā kopīpašniekiem.,C,professional_law,633professional_law
438,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Es ātri metu bumbu citam bērnam. 2. scenārijs | Nedēļas nogalē es pārmeklēju juvelierizstrādājumu veikalu.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios,438moral_scenarios
227,Saskaņā ar konfuciānisma personu modeli,"mēs mācāmies būt personas, pateicoties radnieciskām attiecībām un mācoties no citu cilvēku piemēra.","mēs esam personas, jo mums ir nemirstīgas, individuālas dvēseles.","mēs mācāmies būt personas, lēnām attīstot racionālās spējas.",viss iepriekš minētais.,A,moral_disputes,227moral_disputes
1,Kurš no šiem apgalvojumiem NEpareizi raksturo vēlētāju uzvedību ASV?,"Reģistrētie vēlētāji vecumā no 35 līdz 45 gadiem biežāk balso nekā tie, kas jaunāki par 21 gadu.","Reģistrēts vēlētājs, kas ieguvis vispārējo izglītības līmeni (GED), retāk balso nekā vidusskolas beidzējs.",Reģistrētie vēlētāji biežāk balso vispārējās vēlēšanās nekā pirmreizējās vēlēšanās.,Kopš 1980. gada visās prezidenta vēlēšanās ir balsojis vairāk sieviešu nekā vīriešu.,B,high_school_government_and_politics,1high_school_government_and_politics
1471,"Kāds profesors, būdams daudzdzīvokļu ēkas īpašnieks, to nodeva ar šādiem vārdiem: ""Ar šo es nododu savu daudzdzīvokļu ēku savam dēlam un meitai kā kopīpašniekiem. "" Aktā, kas bija pareizi noformēts, profesors paturēja sev īpašumu uz mūžu. Pēc tam profesors pastāstīja saviem bērniem par savu nodošanas faktu un nodeva to glabāšanai ģimenes seifā bibliotēkā. Pēc tam dēls apprecējās ar ārstu. Pēc tam profesors, kuram ārsts nepatika, noformēja vēl vienu aktu, ko viņš nosauca par ""labošanas aktu"". ""Labojuma aktā"" profesors nodeva dzīvojamo ēku ""manam dēlam un meitai kā kopīpašniekiem ar izdzīvojušā laulātā tiesībām"". ""Saskaņā ar jauno aktu profesors atkal paturēja sev līdz mūža galam lietojamu īpašumu. Abi bērni pieņēma ""labošanas akta"" izsniegšanu. ""Pēc sešiem mēnešiem dēls nomira pēc mantojuma, atstājot ārstu kā vienīgo mantinieku. Īpašumtiesības uz dzīvojamo ēku ir",meitai un ārstam kā kopīpašniekiem.,"meitai, uz kuru attiecas profesora mūža īpašums.","meitai un ārstam kā kopīpašniekiem, uz kuriem attiecas profesora mūža īpašums.","meitai un ārstam kā kopīpašniekiem ar izdzīvojušā īpašnieka tiesībām, uz kuriem attiecas profesora mūža īpašums.",C,professional_law,1471professional_law
1200,"Kāds draugs nolēma aplaupīt pārtikas veikalu pēc tam, kad darba strīda laikā viņu atlaida no darba. Draugs lūdza draudzeni vadīt bēgšanas automašīnu, un viņa piekrita ar nosacījumu, ka laupīšanas laikā netiks izmantoti ieroči ar lādiņu. Laupīšanas dienā draugs un viņa draudzene devās uz pārtikas veikalu. Meitenei nezinot, draugs iegāja veikalā ar pielādētu ieroci. Draugs piegāja pie vienas no kasierēm un lika viņai piepildīt maisu ar visu kasē esošo naudu. Kad kasieris atteicās, draugs viņu nošāva un nogalināja. Pēc tam viņš pagriezās pret nākamo kasieri un vērsa pret viņu ieroci. Kasiere piedzīvoja sirdslēkmi un nomira. Pēc tam draugs pats paņēma naudu no kasēm un izgāja no veikala. Viens no pircējiem bija izsaucis policiju, un tā gaidīja ārā. Izcēlās apšaude, un policija draugu nogalināja. Ja šajā jurisdikcijā tiek ievērota slepkavības nozieguma teorija, tad draudzene ir vainīga, ja cik apsūdzību slepkavībā?",1,2,3,Nav.,B,professional_law,1200professional_law
98,"Datu ieguvei un kontrolei izmantojamam mikrodatoram ir nepieciešams ciparizēt un apstrādāt četrus analogos ieejas signālus un nepārtraukti, t. i., reālajā laikā, izvadīt to vidējo vērtību. Laiks, kurā ārējais analogu ciparu pārveidotājs (ko iedarbina centrālā procesora instrukcija) digitalizē vienu ieejas signālu, ir 12 mikrosekundes, un vienlaicīgi notiek tikai viena digitalizācija. Katram digitalizētajam signālam jāizpilda piecas CPU instrukcijas, ieskaitot aktivizēšanas instrukciju. Desmit CPU instrukcijas tiek izpildītas, lai vidēji aprēķinātu katru četru paraugu kopu un izvadītu šo vērtību. Laiks, kas vajadzīgs, lai konvertētu izvades signālu no ciparu uz analogo formu, ir jāignorē. Ja pieņem, ka tiek izmantota piemērota datu buferēšana, tad maksimālais vidējais vidējais instrukciju izpildes laiks, kas ļauj mikrodatoram sekot līdzi ieejas un izejas datu ātrumam, ir","0,8 mikrosekundes","1,2 mikrosekundes","1,6 mikrosekundes","2,4 mikrosekundes",C,college_computer_science,98college_computer_science
97,"Korespondences princips"" (Bowles &amp; Gintis) liecina, ka:","skolas sagatavo bērnus darbam, mācot viņiem paklausību",skolotājiem un vecākiem mēdz būt līdzīga attieksme pret mācīšanos,"bērni, kuri raksta daudz vēstuļu, labāk apgūst valodu",zēnu un meiteņu izglītības sasniegumi pēdējā laikā ir kļuvuši līdzīgi,A,sociology,97sociology
456,Kurš no turpmāk minētajiem piemēriem vislabāk raksturo sensorās adaptācijas procesu?,"jo vairāk jūs baudāt dziesmu, jo vairāk to dzirdat","nekavējoties reaģējat ikreiz, kad atskan ugunsgrēka trauksmes signāls","nesaprotat, cik auksts ir baseins, kad dažas minūtes atrodaties zem ūdens","paļaujaties uz dzirdi, kad ejat pa tumšu gaiteni",C,high_school_psychology,456high_school_psychology
248,"Artefakti ir rūpīgi jāatsedz un sākotnēji jāatstāj uz vietas, lai reģistrētu:",artefaktu un apkārtējās augsnes sastāvu.,telpisko kontekstu un saistības.,iespējamo faunas kopu vai kaulu klātbūtni.,"apkārtējo putekšņu klātbūtni, morfoloģiju un sugas.",B,prehistory,248prehistory
218,"Džonam ir pieci bērni. Kāda ir varbūtība, ka vismaz puse no tiem būs meitenes? (Var pieņemt, ka zēnam un meitenei ir vienāda varbūtība piedzimt, un otrādi.)",\frac{1}{2},\frac{1}{4},\frac{1}{8},\frac{3}{5},A,high_school_mathematics,218high_school_mathematics
30,"35 gadus veca sieviete ierodas kabinetā, jo 3 dienas agrāk viņai bijušas stipras sāpes labajā muguras pusē. Viņai nav bijis drudža, drebuļa vai svara zuduma. Viņai nav bijušas nopietnas medicīniskas saslimšanas. Muskuļu un skeleta un neiroloģiskie izmeklējumi neuzrāda nekādas novirzes. Kad pacientei tiek paziņots, ka izmeklējumi ir normāli, viņa raud un pieprasa muguras magnētisko rezonansi, jo viņas māte tikko nomira no krūts vēža ar metastāzēm kaulos un viņa baidās, ka arī viņai varētu būt vēzis. Paciente jau sazinājās ar savu apdrošināšanas sabiedrību, kas viņai teica, ka gadījumā, ja viņai ir neiroloģiskas anomālijas, magnētiskās rezonanses izmeklējumu var segt viņas apdrošināšanas plāns. Paciente lūdz ārstu pasūtīt MR, norādot, ka viņai ir neiroloģiskas izmaiņas. Kura no turpmāk minētajām darbībām ir vispiemērotākā ārsta sākotnējā rīcība?","Konsultējiet pacienti, lai viņa pēc iespējas ātrāk mainītu apdrošināšanas kompāniju un varētu saņemt plašāku medicīnisko aprūpi","Paskaidrojiet, ka pacientei nav nepieciešams veikt MRI un ka nav lietderīgi sagrozīt izmeklēšanas rezultātus","Nekavējoties informējiet pacienta apdrošināšanas kompāniju par to, ko paciente ir lūgusi ārstam darīt","Ierīkojiet MRI, kā to lūdz pacients",B,professional_medicine,30professional_medicine
84,"Termins ""aktīvi"" attiecas uz:","kulturāli vērtētām precēm un dzīves standartiem, kas nabadzīgajiem liek justies relatīvi trūcīgiem","naudas plūsmu, ko cilvēks saņem no algas vai algas","ekonomisko resursu krājumu, tostarp zemi, akcijām un banku noguldījumiem","iedzīvotāju ""šķēlumiem"", kuriem pieder atšķirīgs bagātības apjoms",C,sociology,84sociology
161,"Šerifa pētījums ""Robbers Cave"" parādīja, kurš no šiem principiem vislabāk palīdz mazināt spriedzi starp grupām?",superordinārie mērķi,atbildības difūzija,grupas polarizācija,deindividuācija,A,high_school_psychology,161high_school_psychology
170,Kura skaitļu grupa ir sakārtota no mazākā līdz lielākajam?,"0,25 1,6 1,0","1,0 0,25 1,6","0,25 1,0 1,6","1,6 1,0 0,25",C,elementary_mathematics,170elementary_mathematics
4," Izmantojiet šo atslēgu, lai pārtulkotu doto PL formulu dabiskos teikumos angļu valodā.
A: Marina lasa Percy Jackson grāmatu.
B: Izzy spēlē Minecraft.
C: Emīlija pārtrauc strādāt.
D: Rasels gatavo vakariņas.
E: Ešlija apstājas pie mums.
(~B - E) ⊃ D","Ja nav tā, ka gan Izzy spēlē Minecraft, gan Ashleigh apstājas, tad Russell gatavo vakariņas.","Ja nav tā, ka gan Izzy spēlē Minecraft, gan Ashleigh apstājas, tad Russell gatavo vakariņas.","Izzy spēlē Minecraft un Ashleigh apstājas, no tā izriet, ka Russell gatavo vakariņas.","Russell gatavo vakariņas ir pietiekams nosacījums tam, ka Izzy nespēlē Minecraft un Ashleigh apstājas.",B,formal_logic,4formal_logic
41,Samazinošās robežatdeves likums ir atbildīgs par,"AVC, kas vispirms pieaug, bet pēc tam samazinās, pieaugot izlaides apjomam.","AFC, kas vispirms pieaug, bet pēc tam samazinās, pieaugot izlaides apjomam.","MP, kas vispirms samazinās, bet pēc tam pieaug, pieaugot izlaides apjomam.","MC, kas vispirms samazinās, bet pēc tam pieaug, pieaugot izlaides apjomam.",D,high_school_microeconomics,41high_school_microeconomics
164,"Mācoties sadarbojoties, visi A grupas skolēni sākotnēji bija pret nāvessodu, savukārt divi B grupas skolēni bija pret nāvessodu, bet divi - par nāvessodu. Saskaņā ar pētījumiem pēc intensīvas diskusijas par nāvessodu katrā grupā varētu sagaidīt, ka",abas grupas mazinās savu nostāju,"A grupas dalībnieki mazinās savu nostāju, bet B grupas dalībnieki saglabās savu sākotnējo nostāju","A grupas dalībnieki kļūs stingrāki, bet B grupas dalībnieki mazinās savu nostāju","A grupas dalībnieki saglabās savu sākotnējo nostāju, bet B grupas dalībnieki mazinās savu nostāju",C,high_school_psychology,164high_school_psychology
951,"Federālā darbinieku arodbiedrība iesniedza prasību federālajā tiesā, lūdzot izdot rīkojumu, kas neļautu ASV Valsts kases departamentam piemērot obligātās narkotiku pārbaudes pret tās biedriem, kuri, pildot dienesta pienākumus, nēsāja šaujamieročus vai aizturēja narkotikas. Ja darbinieks, kas piederēja kādai no šīm kategorijām, vēlējās paaugstinājumu amatā, valdība pieprasīja, lai viņš vai viņa iziet urīna paraugu sniegšanas programmu analīžu veikšanai. Arodbiedrība apgalvoja, ka šīs kratīšanas ir pretrunā Ceturtajā grozījumā noteiktajām tiesībām uz privātās dzīves neaizskaramību un tiesībām netikt nepamatoti pārmeklētam. Arodbiedrība zaudēja lietu zemākas instances federālajā tiesā un Apelācijas tiesā, bet Amerikas Savienoto Valstu Augstākā tiesa piekrita to izskatīt. Ko izlems Augstākā tiesa?","Narkotiku pārbaužu politika ir antikonstitucionāla, jo kratīšanas tiek veiktas bez pamatota iemesla vai aizdomām.","Narkotiku pārbaužu politika ir antikonstitucionāla, jo tā pārkāpj darbinieku tiesisko paļāvību uz privātumu.","Ir pamatoti veikt bez aizdomām to darbinieku pārbaudi, kuri ir iesaistīti narkotiku aizturēšanā vai darbā ar šaujamieročiem.","Jebkurā gadījumā ir pamatoti, ja valsts darba devējs veic kratīšanas bez aizdomām.",C,professional_law,951professional_law
76,Kurš no šiem procesiem visvieglāk var kļūt virulentāks poliovīrusam?,RNS genoma mutācija tikai dažās pozīcijās,rekombinācija ar citu enterovīrusu,olbaltumvielu apvalka maiņa,vairākkārtēja nukleotīdu svītrošana un aizstāšana,A,virology,76virology
1143,"Sievietes vārdā iesniegtajā sūdzībā pret pansionātu un ātrās palīdzības dienestu bija šādi apgalvojumi: Sievieti, kurai bija 86 gadi un kura pēc insulta nespēja runāt, ātrās palīdzības dienests paņēma no viņas meitas mājas un nogādāja pansionātā, lai viņa tur paliktu, kamēr meita bija prom no pilsētas. Kad sievietes meita pēc dažām dienām atgriezās, ātrās palīdzības dienests paņēma sievieti no pansionāta un nogādāja atpakaļ meitas mājā. Meita bija šokēta, kad atklāja, ka sievietei ir lauzta kāja; kad viņa devās uz pansionātu, viņas kāja nebija ievainota. Sūdzībai pievienotajā ārsta ziņojumā bija norādīts, ka sievietes kājas trauma nebūtu radusies, ja nebūtu bijis nolaidības. Turklāt sūdzībā tika apgalvots, ka laikā, kad sieviete bija guvusi traumu, to secīgi kontrolēja ātrās palīdzības dienests un aprūpes nams, un ka vai nu ātrās palīdzības dienests, vai aprūpes nams bija nolaidīgi pārvietojis vai rīkojies ar sievieti, izraisot viņas kājas traumu. Abi atbildētāji apgalvoja, ka sūdzības apgalvojumi nav pietiekami, lai pamatotu prasību par nolaidību. Kāda ir labākā atbilde uz atbildētāju argumentu?",Abiem atbildētājiem bija pienākums pret sievieti.,"Viens no abiem atbildētājiem, iespējams, izraisīja traumu, un traumas apstākļi galvenokārt ir zināmi un kontrolējami atbildētājiem, nevis sievietei vai viņas pārstāvim.","Atbildētāji ir vienlaicīgi vainojami deliktos, tāpēc katrs no viņiem ir aizvietotājs atbildīgs par otra atbildētāja izdarīto deliktu.","Faktu noteicējam ir pamats secināt, ka abi atbildētāji bija nolaidīgi.",B,professional_law,1143professional_law
75,Dažu nedēļu laikā pēc ārstēšanas ar zālēm 3TC pacienta HIV populāciju veido tikai pret 3TC rezistenti vīrusi. Kā vislabāk izskaidrot šo rezultātu?,HIV var mainīt savus virsmas proteīnus un pretoties vakcīnām.,"Pacients, iespējams, ir atkārtoti inficējies ar 3TC rezistentiem vīrusiem.","Reaģējot uz zālēm, HIV sāka veidot pret zālēm rezistentas reversās transkriptāzes versijas.","Ārstēšanas sākumā bija daži pret zālēm rezistenti vīrusi, un dabiskā atlase palielināja to biežumu.",D,high_school_biology,75high_school_biology
221,"Pieņemsim, ka ir tikai divas preces: x un y. Kurš no šiem apgalvojumiem NAV pareizs?",Var būt salīdzinošās priekšrocības abu preču ražošanā.,"Var būt gan absolūtās priekšrocības, gan salīdzinošās priekšrocības x ražošanā.",Var būt absolūtās priekšrocības un nekādas salīdzinošās priekšrocības x ražošanā.,Var būt salīdzinošās priekšrocības un nekādas absolūtās priekšrocības x ražošanā.,A,high_school_microeconomics,221high_school_microeconomics
133,"Mūzikas skates grafikā ir iekļauti 3 seti, kas katrs ilgst 20 minūtes, un 1 sets, kas ilgst 40 minūtes. Starp setiem ir 10 minūšu pārtraukums. Mūzikas skates kopējais ilgums ir 3(20 + 10) + 40 minūtes. Kāds ir kopējais mūzikas paraugdemonstrējuma ilgums?",73 minūtes,110 minūtes,130 minūtes,210 minūtes,C,elementary_mathematics,133elementary_mathematics
4,"Atrodiet dotā polinoma reizinājumu dotajā polinoma gredzenā. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 Z_8[x].",2x^2 + 5,6x^2 + 4x + 6,0,x^2 + 1,B,abstract_algebra,4abstract_algebra
20,"Raksturīgie rentgena stari, kas parādās kā asas līnijas uz nepārtraukta fona, rodas, kad augstas enerģijas elektroni bombardē metāla mērķi. Kura no šiem procesiem rezultātā rodas raksturīgie rentgena stari?","Elektroni, kas rada Čerenkova starojumu","Elektroni, kas saduras ar metāla fononiem","Elektroni, kas aizpilda metāla atomos radušās iekšējā apvalka vakances","Elektroni, kas apvienojas ar protoniem, veidojot neitronus",C,college_physics,20college_physics
1,Kurš no šiem faktoriem ir saistīts ar mazāku Alcheimera slimības risku?,Piederība afroamerikāņiem vai latīņamerikāņiem,Ēd zivis,Zemāks izglītības līmenis,Laulība,B,human_aging,1human_aging
215,"Kopumā dzīvnieku šūnas atšķiras no augu šūnām ar to, ka dzīvnieku šūnām ir","šūnas sieniņa, kas veidota no celulozes",lizosomas,"lielas vakuolas, kurās tiek glabāts ūdens",centriolas centrosomās,D,high_school_biology,215high_school_biology
144,Kurš no šiem mērķiem ir vakcinācijas mērķis?,Novērst infekciju,Novērst slimību,Novērst infekcijas pārnešanu,Visi iepriekš minētie,D,virology,144virology
