,Question,A,B,C,D,Answer,Subject
24,"Šis jautājums attiecas uz šādu informāciju.
Viena no tiesībām, ko brīvmākslinieks vienmēr ir sargājis ar vislielāko greizsirdību, ir baudīt savas nozares atlīdzību. Saprotot, ka vara uzlikt nodokļus ir vara iznīcināt un ka vara paņemt noteiktu daudzumu īpašuma vai ienākumu ir tikai vēl viens veids, kā pateikt, ka noteiktu sava laika daļu pilsonim ir jāstrādā valdības labā, visrūpīgāk tiek sargāta vara uzlikt nodokli tautai.… Valdība, kas uzliek nodokļus cilvēkiem, kurus neprasa steidzama nepieciešamība un pareiza sabiedriskā kārtība, nav brīvības aizstāvis, bet tirānijas instruments. Tā nolemj pilsoni tirānijai. Viena no pirmajām pazīmēm, kas liecina par brīvas valdības sabrukumu, ir iedzīvotāju tiesību uz savu īpašumu neņemšana vērā nodokļu uzlikšanā.… Ja vien cilvēki nevar baudīt šo saprātīgo drošību sava īpašuma valdījumā, ko garantē Konstitūcija, pret nepamatotu aplikšanu ar nodokļie, tad tās ir brīvības beigas.… Ar mums ekonomika ir obligāta. Tas ir pilnīgs pārbaudījums mūsu nacionālajam raksturam.… Vienmēr maksā cilvēki, kas strādā.
—Calvin Coolidge, ""Ekonomika visu interesēs"", 1924. gada 30. jūnijs
Augstāk minētajā fragmentā Coolidge reaģē uz kuru no šiem?",Viņa priekšgājēja Vorena Hārdinga ekonomiskā politika,Radikālās politikas pieaugošais spēks Amerikā pēc Krievijas revolūcijas,Populistiska aģitācija Rietumos,Progresīvās ēras valdības politika,D,high_school_us_history
735,"Ar kādu ātrumu sedans apgāzīsies, ieslīdot apmalē uz sāniem?",10 jūdzes/h,20 jūdzes/h,40 jūdzes/h,80 jūdzes/h,B,miscellaneous
26,"Šķidrums plūst ar nemainīgu plūsmas ātrumu caur cauruli ar dažāda diametra apaļiem šķērsgriezumiem. Vienā caurules punktā diametrs ir 2 cm un plūsmas ātrums ir 18 m/s. Kāds ir plūsmas ātrums citā šīs caurules punktā, kur diametrs ir 3 cm?",4 m/s,< 6 m/s,8 m/s,12 m/s,C,high_school_physics
49,"Ja $f(x) = 8x^3 - 6x^2 - 4x + 5 $, atrodiet vērtību $f( -2)$.",5,-75,64,-24,B,high_school_mathematics
223,Kurš no šiem apgalvojumiem attiecas uz reimatoīdo artrītu?,Reimatoīdais faktors ir 25% reimatoīdo gadījumu,Tas ir oligoartropātijas piemērs,Anēmija ir bieži sastopama parādība,Heberden mezgli ir iezīme,C,clinical_knowledge
216,"Viens no veidiem, kā novērtēt pacienta autonomiju, ir censties maksimāli palielināt viņa efektīvās iespējas. Kad mēs vērtējam pacienta autonomiju šādā veidā, ko, pēc Vellemana domām, mēs vērtējam?",pacienta pašnoteikšanās iespējas,pacienta pašnoteikšanās spējas,spēju nodrošināt pacientam iespējas,spēju dalīties iemeslos ar pacientu,A,moral_disputes
1032,"Sievietei iestājās grūtniecība laikā, kad pieauga laulības problēmas ar vīru. Viņa viņam neteica, ka ir stāvoklī, un nolēma veikt abortu, nepasakot to. Viņas štatā bija likums, kas paredzēja, ka viņai jāparaksta paziņojums, kas apliecina, ka viņa ir pastāstījusi vīram par plānoto abortu. Viņa atteicās parakstīt un iesūdzēja valsti tiesā, lai apstrīdētu likuma konstitucionalitāti. Vai likums ir antikonstitucionāls?","Nē, likums neiejaucās sievas tiesībās uz privātumu, jo vīram bija vienlīdzīgas tiesības būt aizsargātam.","Nē, likums paredzēja tikai minimālu iejaukšanos, un precētām sievietēm nebūtu grūti iegūt vīra piekrišanu.","Jā, tas ir antikonstitucionāli, jo sievietei ir neierobežotas tiesības uz abortu pēc pieprasījuma.","Jā, tas ir antikonstitucionāli, jo rada nepamatotu slogu sievietes tiesībām veikt abortu.",D,professional_law
159,"Fakts, ka pret Zemi vienmēr pavērsta tā pati Mēness puse, ir pierādījums tam, ka Mēness rotē ap savu asi apmēram vienu reizi",dienā,mēnesī,gadā,"Neviens no tiem, jo mēness nerotē ap savu asi",B,conceptual_physics
271,Kuru mērījumu vislabāk noapaļot līdz tuvākajam tūkstotim?,Futbola laukuma garums jardos,Profesionāla futbolista augums collās,Cilvēku skaits profesionālā futbola spēlē,Profesionāla futbolista svars mārciņās,C,elementary_mathematics
12,"Noteiktā apvidū dzīvojošo cilvēku ilgmūžībai ir 14 gadu standartnovirze. Kāda ir vidējā ilgmūžība, ja 30% cilvēku dzīvo ilgāk par 75 gadiem? Pieņemiet normālu sadalījumu mūža garumā.","75 - 0,30(14)","75 + 0,30(14)","75 - 0,4756(14)","75 - 0,5244(14)",D,high_school_statistics
318,"Kurā no šiem diviem scenārijiem galvenais varonis dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Pusmūža krīzes laikā es uzbūvēju ""vīrieša alu"". 2. scenārijs | Es pasniedzu savam brālim zobu birsti, lai viņš varētu tīrīt zobus.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios
1005,"Valsts likums noteica, ka brīvās valsts skolu ēkas jāpārdod izsolē augstākās cenas solītājam. Baznīca pilsētā, kas atrodas štatā, vēlējās iegādāties lielākas telpas savai skolai. Pilsētas skolas valde ierosināja jaunu valsts likumu, kas ļautu tai pārdot brīvo valsts skolas ēku par cenu, kas ir zemāka par tās patieso tirgus vērtību, baznīcai, lai to izmantotu kā savu skolu. Ja šis likums tiktu pieņemts, vai tas būtu konstitucionāls?","Nē, jo nolikums, kas īpaši atļauj pārdot ēku bez konkursa, pārkāptu Četrpadsmitā grozījuma vienlīdzīgas aizsardzības klauzulu.","Nē, jo ēkas nodošana baznīcai šādos apstākļos būtu reliģijas iedibināšana, kas aizliegta ar Pirmo un Četrpadsmito grozījumu.","Jā, jo uz lieko valsts īpašumu neattiecas ierobežojumi, kas noteikti dibināšanas klauzulā, kas iekļauta dibināšanas klauzulā, kas iekļauta četrpadsmitajā grozījumā.","Jā, jo likums primāri vai būtiski neatbalstītu baznīcas reliģisko darbību.",B,professional_law
150,"Viegli veidojama ģenētiskā variācija ir galvenais faktors straujai vīrusu un mikrobu populāciju evolūcijai. Turklāt patogēni, kuriem nepieciešams izvairīties no imūnsistēmas, paļaujas uz šo variāciju, lai radītu jaunus virsmas antigēnus, kurus saimnieka imūnsistēma neatpazīst. Kurš no šiem ir šīs antigēnu variācijas piemērs?","HIV, kas daudzus gadus var palikt integrēts saimnieka genomā","Gripas vīruss, kas maina apvalka olbaltumvielas","MRSA, kas ir kļuvis rezistents pret daudzām antibiotikām","Multiplā skleroze, kas uzbrūk nervu sistēmas šūnām",B,high_school_biology
193,"Šis jautājums attiecas uz šādu informāciju.
1. avots:
""Turklāt, kungs, mūsu karaļvalstīs ir vēl viena liela neērtība, kas Dievam ir maz noderīga, un tas ir tas, ka daudzi mūsu cilvēki, kas dedzīgi vēlas, jo viņi ir no jūsu karaļvalstu izstrādājumiem un lietām, kuras šeit ieved jūsu cilvēki, un, lai apmierinātu viņu nežēlīgo apetīti, sagrābj daudzus mūsu cilvēkus, atbrīvotus un atbrīvotus vīriešus, un ļoti bieži gadās, ka viņi nolaupa pat muižniekus un mūsu radiniekus un aizved viņus uz esiet pārdoti baltajiem, kas ir mūsu valstībās.""
Kongo karaļa Afonso I vēstule Portugāles karalim Jānim III, 1526. gads
2. avots:
""Šī ekspedīcija mums ir izmaksājusi dārgi: nebūtu saprātīgi to nosūtīt mājās ar tukšām rokām. Lai gan mūsu [galvenā] vēlme ir kalpot Dievam un Kongo karaļa priekam, tomēr jūs liksiet viņam saprast - kā runājot mūsu vārdā - kas viņam jādara, lai piepildītu kuģus ar vergiem, varu vai ziloņkaulu.""
Norādījumi no Portugāles karaļa Manuela viņa sūtnim Kongo, 1512. gadā
Abas vēstules vislabāk apstiprina, kuru no šiem secinājumiem?",Diplomātiskās attiecības starp Portugāli un Kongo bieži bija sirsnīgas.,Kongo muižniekus portugāļi bieži vien uzskatīja par vergiem.,Tirdzniecība starp Portugāli un Kongo tika stingri regulēta.,Tirdzniecība starp Portugāli un Kongo bija strauja ar abām pusēm.,D,high_school_world_history
144,"Elektriskais dipols sastāv no vienādu, bet pretēju 4,0 nC lieluma punktveida lādiņu pāra, ko atdala 2,0 cm attālums. Kāds ir elektriskā lauka stiprums punktā starp lādiņiem?",0,"9,0 × 10^4 V/m","1,8 × 10^5 V/m","7,2 × 10^5 V/m",D,high_school_physics
276,"Brends (Brandt) apgalvo, ka tas, vai morāles kodekss ir ideāls, daļēji ir atkarīgs no:",noteikumu sarežģītības.,"tā, cik daudz cilvēku, visticamāk, to pārkāptu.","tā ierobežojumu izmaksas attiecībā uz vainu, ko tā izraisa.",visi minētie,D,philosophy
182,"Vienkārši pavadījumi, viegla tekstūra un gludas melodijas ir",grezns stils,partitas,Sturm und Drang,serenāde,A,miscellaneous
1,"Kāds bija IKP uz vienu iedzīvotāju Amerikas Savienotajās Valstīs 1850. gadā, pielāgojoties inflācijai un PPP 2011. gada cenās?",Aptuveni 300 $,Aptuveni 3 000 $,Aptuveni 8 000 $,Aptuveni 15 000 $,B,global_facts
152,"Klīniskajā pētījumā 30 sirpjveida šūnu anēmijas pacienti pēc nejaušības principa tiek iedalīti divās grupās. Viena grupa saņem pašlaik tirgotās zāles, bet otra grupa saņem eksperimentālās zāles. Katru nedēļu pacienti ziņo klīnikā, kur tiek veiktas asins analīzes. Laboratorijas tehniķis nezina, kādas zāles pacients lieto. Šo dizainu var raksturot kā","pilnīgi randomizēts dizains, kurā pašlaik tirgotās zāles un eksperimentālās zāles ir divas ārstēšanas metodes","saskaņotu pāru dizainu, ar pašlaik tirgotajām zālēm un eksperimentālajām zālēm, kas veido pāri","randomizēta bloka dizains, kurā pašlaik tirgotās zāles un eksperimentālās zāles ir divi bloki","randomizēta bloka dizains, kurā pašlaik tirgotās zāles un eksperimentālās zāles ir divas ārstēšanas metodes",A,high_school_statistics
201,"Kurā no šiem diviem scenārijiem galvenais varonis  dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es uzbruku mājas īpašniekam. 2. scenārijs | Es noplēsu un saplēsu papīru no dāvanām dzimšanas dienas ballītē.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",B,moral_scenarios
106,"Testators nomira un ar savu testamentu atdeva visu savu mantu labdarībai, bet dāvinājums neizdevās, jo testaments tika izpildīts 10 dienas pirms testatora nāves. Pēc tam kāds vīrietis iesniedza prasību pret mantojumu, apgalvojot, ka viņš ir testatora dēls un mantinieks. Tiesā pēc vīrieša prasības vīrietis nevarēja uzrādīt nekādus pierādījumus par svinīgu laulību, bet ar neapstrīdamiem pierādījumiem konstatēja: (a) ka viņa māte un testators ir dzīvojuši kopā vairākus gadus; un (b) ka viņa māte nomira bija pirms mantojuma atstājēja par vienu dienu. Pieņemsim, ka šajā jurisdikcijā ir spēkā attiecīgie Mirušā statūti. Tiesā vīrieša advokāts izsauca lietvedi ziemas kūrorta viesnīcā. Lietvedis liecināja, ka testators un vīrieša māte bija ieradušies viesnīcā daudzus gadus un viņš bieži redzēja, ka testators paraksta viesnīcas reģistru kā ""Testatora kungs un kundze."" Lietvedības tiesai jālemj, ka lietveža liecības","ir pieņemamas, jo lietvedim bija personīgas zināšanas par šo lietu.",ir pieņemamas kā ciltsrakstu izņēmums no noklausīšanās noteikuma.,"nav pieņemamas, jo lietveža liecība nav labākais pierādījums.","nav pieņemamas, saskaņā ar Mirušā cilvēka statūtiem.",A,professional_law
1160,Prezidents ar Senāta ieteikumu un piekrišanu var iecelt:,Vēstniekus,valsts ministrus un konsulus,augstākās tiesas tiesnešus,visus minētos,D,professional_law
481,"Pensionārs bija rekorda īpašnieks maksas vienkāršā absolūtā 100 akru saimniecībā. 1998. gadā pensionārs izdomāja īpašumu savai meitai un savam draugam kā kopīpašniekiem ar apgādnieka zaudējuma tiesībām. Nākamajā gadā meita izpildīja aktu darbiniekam šādi:""Ar šo es nododu visas savas tiesības, titulu un interesi par saimniecības ziemeļaustrumu kvartālu darbiniekam un viņa mantiniekiem. ""Pēc tam meita aizņēmās 100 000 ASV dolāru no aizdevēja, un parādzīme tika izpildīta kā pierādījums parādu. 2008. gadā meita neizpildīja aizdevuma saistības, un aizdevējs kā sprieduma kreditors piedzina un pārdeva savam brāļadēlam visas (meitas) tiesības, īpašumtiesības un procentus saimniecības dienvidu pusē. ""2009. gada decembrī meita nomira bez testamenta, atstājot savu vīru kā savu vienīgo pārdzīvojušo mantinieku. Kam pieder ferma?",Draugs un darbinieks ir īrnieki kopīgā saimniecības ziemeļaustrumu kvartālā; draugs un vīrs ir īrnieki kopīgā saimniecības ziemeļrietumu kvartālā; un draugs un brāļadēls ir īrnieki kopīgā saimniecības dienvidu pusē.,Draugs un darbinieks ir kopīgi īrnieki saimniecības ziemeļaustrumu kvartālā; draugs ir īpašnieks saimniecības ziemeļrietumu kvartālā; un draugs un brāļadēls ir kopīgi īrnieki saimniecības dienvidu pusē.,Draugs un darbinieks ir kopīgi īrnieki saimniecības ziemeļaustrumu kvartālā; draugs un vīrs ir kopīgi īrnieki saimniecības ziemeļrietumu kvartālā; un brāļadēls ir īpašnieks saimniecības dienvidu pusē.,Draugs un darbinieks ir kopīgi īrnieki saimniecības ziemeļaustrumu kvartālā; draugs ir īpašnieks par atlikušajām trim ceturtdaļām saimniecības.,B,professional_law
447,Klasiskajā kondicionēšanā izglītojamais iemācās saistīt beznosacījuma stimulu ar,beznosacījumu atbilde,nosacījuma stimulu,nosacījuma reakciju,negatīvsu pastiprinātāju,B,high_school_psychology
217,"(n) ____________ galvenais mērķis ir iegūt detalizētu informāciju par darba prasībām, lai atvieglotu lēmumu pieņemšanu saistībā ar kompensāciju.",vajadzību izvērtējuma,organizatoriskās analīzes,darba analīzes,darba novērtējuma,D,professional_psychology
29,"Šis jautājums attiecas uz šādu informāciju.
Mūsu līderi runā par agresijas apturēšanu no ziemeļiem, bet šī bija cīņa starp vjetnamiešu grupām, līdz mēs iejaucāmies. Šķiet, ka mums ir vēlme glābt vjetnamiešus no Hošiminas, pat ja mums viņi ir jānogalina un jānojauc viņu valsts, lai to izdarītu. Tā kā vietējie iedzīvotāji apskata bombardētos ciematus, sievietes un bērnus, ko sadedzināja napalms, iznīcinātās rīsu kultūras un pilsētas, kurās ir mūsu militārais personāls, viņi, bez šaubām, slepeni saka par Vjetkongas partizāniem un amerikāņu spēkiem, ""Mēris uz abām jūsu mājām."" ... Pārtrauciet bombardēšanu ziemeļos un dienvidos, pārtrauciet meklēšanu un iznīciniet uzbrukuma darbības, un ierobežojiet mūsu militāro darbību ar operāciju rīkošanu uz zemes. Bombardēšana ziemeļos nav apturējusi vai nopietni traucējusi karaspēka plūsmu uz dienvidiem un, iespējams, ir izraisījusi daudz lielākus Hanojas kara centienus.
- Senators Džordžs Makgoverns, ""Vjetnamas mācības"", 1967. gada 25. aprīlis
Sajūtas, kas izteiktas augstāk minētajā runā, tieši ietekmēja, kuru no šiem?",1973. gada Kara pilnvaru aktu,1968. gada Tet uzbrukumu,Ričarda Niksona atkāpšanos 1974. gadā,Jauniešu kontrkultūras rašanos,A,high_school_us_history
187,Kādi dzīvesveida faktori nemaina veģetāriešu veselības interpretāciju salīdzinājumā ar gaļas ēdājiem?,Smēķēšanas ieradums,Sociālā klase/amats,Fiziskās nodarbes,Vecums,D,nutrition
147,"Produkcija valstī A ir 1200 vienības, un tās iedzīvotāju skaits ir 100 personas. Produkcija valstī B ir 2400 vienības, un tās iedzīvotāju skaits ir 400 personas.",Valstī A ir augstāks dzīves līmenis nekā valstī B.,Valstī A ir zemāks dzīves līmenis nekā valstī B.,Valstī A un valstī B ir vienāds dzīves līmenis.,Valsts A ir mazāk produktīva nekā valsts B.,A,high_school_macroeconomics
227,Kurā smadzeņu daļā sākotnēji tiek apstrādāta informācija no redzes nerva?,pakauša daiva,Hipotalāms,Talāms,Hipokamps,C,high_school_psychology
99,Trīs no šiem ir klasiski drošības īpašumi; kurš no tiem nav?,Konfidencialitāte,Pieejamība,Pareizība,Integritāte,B,computer_security
127,Kurš no šiem apgalvojumiem nav piemērojams miera pētījumu attīstībai divdesmitajā gadsimtā?,"Miera pētījumos viens no vēlākiem notikumiem bija liela interese par konfliktu novēršanu, konfliktu risināšanu un miera uzturēšanu.","Aukstā kara augstākajā punktā miera pētījumi bieži tika saukti par ""nomierināšanas pētījumiem"", un kritiķi pret tiem asi iebilda.","Līdz 1970. gadiem ievērojamie miera pētnieki aicināja paplašināt jomas kompetenci, bet lielākoties neveiksmīgi mēģināja.",Miera pētījumu mērķis bija sniegt globālāku un nevalstiskāku skatījumu uz galvenajiem konflikta jautājumiem.,C,security_studies
198,"Hipotēzes H0: p= 0,3 nozīmīguma testā pret alternatīvu HA: p> 0,3 tika atrasta vērtība = 0,35 95 izmēra nejaušai izlasei. Kāda ir šī testa P vērtība?",1.06,0.1446,0.2275,0.8554,B,high_school_statistics
62,Kurš no šiem apgalvojumiem ir patiess:,"Ir iespējams izvietot lineāru kārtas attiecību ≤ uz kompleksajiem skaitļiem C tā, ka (C, +, ×, ≤) nav sakārtots lauks.","Ir iespējams izvietot lineāru kārtas attiecību uz kompleksajiem skaitļiem C, kas veido (C, +, ×, ≤) sakārtotu lauku.","Ne (a), ne (b)","Gan a), gan b).",A,college_mathematics
231,"Kurā no šiem diviem scenārijiem galvenais varonis  dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es atstāju savus netīros šķīvjus un krūzes darba pārtraukuma telpas izlietnē. 2. scenārijs | Man patīk apskaut un noskūpstīt sievu un nopirkt viņai ziedus.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",B,moral_scenarios
161,"Tās ir īslaicīgas lietošanas preces vai pakalpojumi, ko bieži vien pērk, pirms pirkuma maz pārdomājot vai apsverot:",Impulsa preces,Rūpniecības preces,Ērtības preces,Luksusa preces,C,marketing
37,Kā jūs saucat jaunu govi?,ķēve,teķītis,bērns,teļš,D,miscellaneous
1,"Pieņemsim, ka TLS savienojums ir veiksmīgi izveidots starp klientu un serveri. Sesijas izveidošana ietvēra servera sertifikāta pārbaudi un DiffieHelmann apmaiņas izpildi, bet klients nesniedza klienta sertifikātu. Turklāt pieņemsim, ka klients un serveris ir godīgi, ka klients un serveris nenopludina savas atslēgas un ka kriptogrāfija ir laba. Pret kuru no šiem uzbrukumiem TLS aizsargā?
1. Uzbrucējs, kas atskaņo baitu, ko klients nosūtīja agrāk.
2. Uzbrucējs uzdodas par serveri.","Patiess, patiess","Nepatiess, nepatiess","Patiess, nepatiess","Nepatiess, patiess",A,computer_security
592,"Puisis ar draudzeni apmeklēja mājas ballīti. Kamēr notika ballīte, daži pusaudži no apkaimes vandīja dažas automašīnas, kas bija novietotas pie mājas. Viņi salauza priekšējos lukturus un nozaga akumulatoru no puiša automašīnas. Kad ballīte beidzās, draugs un viņa draudzene izgāja no mājas un iekāpa viņa automašīnā. Puisis, kurš grasījās aizvest savu draudzeni mājās, nezināja par notikušo. Viņš mēģināja iedarbināt mašīnu, bet tā neieslēdzās. Divi policisti, kas atradās ārpus mājas, vēroja puisi, kad viņš mēģināja iedarbināt automašīnu. Pēc tam viņi vērsās pie drauga un apsūdzēja viņu par mēģinājumu pārkāpt vietējo rīkojumu, padarot par pārkāpumu braukšanu naktī bez lukturiem. Drauga labākā aizstāvība pret apsūdzību ir",faktiskā neiespējamība.,patiesības kļūda.,bezizejas situācija.,nav nepieciešamā nolūka.,D,professional_law
259,"35 gadus vecs vīrietis ierodas HIV testēšanas birojā saņemt testa rezultātu, un viņš tiek informēts, ka rezultāts ir pozitīvs. Pacients pretojas atklāt informāciju savai sievai, jo viņš nav viņai pastāstījis par saviem ārlaulības seksuālajiem partneriem. Ārsts informē pacientu, ka viņa sievas tiesības zināt ir vissvarīgākās, jo viņa varētu būt arī HIV pozitīva. Kura no šīm attiecībām vislabāk raksturo ārsta ieteikuma pamatojumu, ka pacients informē sievu par savu stāvokli nevis neizpauž šo informāciju?",autonomija ir svarīgāka par labdarību,autonomija ir svarīgāka par taisnīgumu,labdarība ir svarīgāka par autonomiju,nekaitēšana ir svarīgāka par autonomiju,D,professional_medicine
54,"Ko nozīmē termins ""Jaunā pasaules kārtība""?","Jauns demokrātisks internacionālisms, ko vada Amerikas Savienotās Valstis",Jauns spēku samērs starp ASV un Ķīnu,Jauns pasaules ekonomikas satvars,Jauns globalizācijas laikmets,A,us_foreign_policy
131,Maču Pikču tika uzcelta kalnos kā:,aizsardzības cietoksnis.,svētnīca inku lietus dievam.,relaksējoša atpūtas vieta elitei.,Astronomiskā observatorija,C,prehistory
468,"Saskaņā ar bērnudārza pantiņu, kāda veida okeānu Kolumbs kuģoja 1492. gadā?",Mierīgu,Zilu,Vējainu,Ļoti lielu,B,miscellaneous
220,Kurš no šiem neirotransmiteriem ir visprecīzāk saistīts ar baudas pieredzi?,GABA,Acetilholīns,Serotonīns,Dopamīns,D,high_school_psychology
8,Kā Pirmais pasaules karš pārcēla ekonomisko varu no Eiropas uz Amerikas Savienotajām Valstīm?,Karš samazināja Eiropas iedzīvotāju skaitu zem Amerikas Savienoto Valstu līmeņa,Amerikas Savienotās Valstis pēc kara sagrāba Vācijas resursus,Eiropas valstis samaksāja Amerikas Savienotajām Valstīm par palīdzību,"Amerikas Savienotās Valstis kļuva par kreditorvalsti un finanšu centru, un Eiropas kara izdevumi veicināja ASV ekonomiku",D,us_foreign_policy
177,"Kurā no šiem diviem scenārijiem galvenais varonis  dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es pievilku viņas automašīnas uzgriežņus. 2. scenārijs | Es teicu savam dēlam, ka viņš nevarēs ēst konfektes līdz vakariņām.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios
68,"1. _________ ietvars padarīja ievainojamību noteikšanu vieglu, kā noklikšķināšanu ar peli.",.Net,Metasploit,Zeus,Ettercap,B,computer_security
223,"Sievietei piederēja zeme ar pilnīgām īpašumtiesībām. Sieviete nodeva zemi draugam ""uz mūžu"", un pēc drauga nāves zemei bija jānonāk sievietes kaimiņienei ""un viņas mantiniekiem"". Kaimiņiene nomira un savā pienācīgi apstiprinātajā testamentā novēlēja visu savu īpašumu vietējai labdarības organizācijai. Ja viņa būtu mirusi bez testamenta, viņas meita būtu bijusi viņas vienīgā mantiniece. Vienu gadu pēc kaimiņienes nāves viņas meita parakstīja atteikšanās aktu, nododot jebkādas tiesības, kas viņai varētu būt uz zemi, sievietes draugam. Jurisdikcijā darbojas nemodificēts vispārējās tiesību sistēmas Noteikums pret ilgstošiem ierobežojumiem (Rule Against Perpetuities). Nav citu piemērojamu likumu. Kam ir kādas tiesības uz zemi?
","Draugam ir pilnīgas īpašumtiesības, jo viņa mūža īpašums apvienojās ar atlikušo daļu, ko viņam nodeva meita.","Draugam ir mūža īpašums, un labdarības organizācijai ir nostiprinātas tiesības uz atlikušo daļu, jo kaimiņienes intereses bija nododamas ar testamentu.","Draugam ir mūža īpašums, un meitai ir nostiprinātas tiesības uz atlikušo daļu, jo sievietes sastādītais akts radīja interesi kaimiņienes mantiniekiem.","Draugam ir mūža īpašums, un sievietei ir atpakaļatdošanas tiesības, jo kaimiņienes tiesības uz atlikušo daļu bija spēkā neesošas saskaņā ar Noteikumu pret ilgstošiem ierobežojumiem.",B,professional_law
125,"Pauli izslēgšanas princips nosaka, ka",diviem elektroniem nevar būt vienāda enerģija,diviem elektroniem nevar būt vienādi četri kvantu skaitļi,divi elektroni nevar aizņemt atsevišķas orbītas,"divi elektroni nevar savienoties, ja ir pieejama tukša orbīta",B,high_school_chemistry
96,"Homo floresiensis no Floresas salas ir radies pirms aptuveni 35 000 līdz 14 000 gadiem, un, pēc dažu pētnieku domām, tas ir līdzīgs vai saistīts ar:",Homo erectus.,Homo habilis.,Homo ergaster.,Australopithecus afarensis.,A,prehistory
127,"Kurā no šiem diviem scenārijiem galvenais varonis  dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es aizvedu nevainīg vīrieti uz viņa mājām. 2. scenārijs | Es pagatavoju savam mazulim kokteili, ko dzert.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",C,moral_scenarios
50,Akvīnas skatījumā cilvēka galējā laime atrodama:,baudā,morāles tikumu izpausmēs,mīlestībā pret Dievu,domās par Dievu,D,philosophy
116,"Farmaceits bija nodarbināts zāļu veikalā. Ilggadēja aptiekas kliente farmaceitam uzrādīja recepti zālēm Clinoril, kuras ārsts izrakstīja viņas artrīta ārstēšanai. Farmaceits tajā dienā steidzās aizpildāmo recepšu dēļ, un viņš nepareizi nolasīja klienta recepti. Viņš aizpildīja viņas recepti ar Clinitest, kodīgu vielu, kas nav paredzēta iekšējai lietošanai. Viņš marķēja konteineru ar Clinoril instrukcijām: ""Lietojiet vienu tableti divas reizes dienā. ""Klients izpildīja norādījumus, lietoja Clinitest un guva smagas kuņģa un barības vada traumas. Ja klients ceļ stingru atbildību par delikta prasību pret farmaceitu, kāda ir viņa labākā aizstāvība?","Naudu par zālēm personīgi saņēma kasieris, nevis viņš.","Viņš nebija produkta pārdevējs, kam var piemērot stingro atbildību.",Viņš rīkojās ar saprātīgu rūpību attiecīgajos apstākļos.,"Aptieka nebija ražotājs, kam gulstas galīgā atbildība.",B,professional_law
26,Kurš no šiem apgalvojumiem ir nepatiess par vienkāršiem nejaušiem paraugiem?,"Paraugam jābūt pietiekami lielam, lai to pareizi uzskatītu par vienkāršu nejaušu paraugu.","Parauga pārbaude nesniegs nekādas norādes par to, vai tas ir vienkāršs nejaušs paraugs.",Vienkārša nejauša parauga atribūti var ļoti atšķirties no populācijas atribūtiem.,Katram iedzīvotāju elementam ir vienādas iespējas tikt izvēlētam.,A,high_school_statistics
307,Stephen Macedo pievēršas imigrācijas ētiskajam jautājumam no _____ taisnīguma viedokļa.,feministiskā,globālā,sadalošā (distributīvā),starptautiskā,C,moral_disputes
575,"Kurā no šiem diviem scenārijiem galvenais varonis  dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es nometu bērnu pēc tam, kad biju pabeidzis to barot. 2. scenārijs | Es braucu cauri sarkanajai gaismai","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",A,moral_scenarios
158,Ja FED pērk obligācijas otrreizējā tirgū,naudas piedāvājums palielināsies.,naudas piedāvājums samazināsies.,naudas piedāvājums netiks ietekmēts.,diskonta likme tiktu ietekmēta.,A,high_school_macroeconomics
